"Address","Date","Rent","Aprt_Type","Building_Type"
"700 NW 4th St, Oklahoma City, OK 73102","2026/05/04",1235,"Studio","Apartment"
"700 NW 4th St, Oklahoma City, OK 73102","2026/05/04",1249,"1 Bed","Apartment"
"700 NW 4th St, Oklahoma City, OK 73102","2026/05/04",2019,"2 Beds","Apartment"
"1209 W Hefner Rd, Oklahoma City, OK 73114","2026/05/04",849,"1 Bed","Apartment"
"1209 W Hefner Rd, Oklahoma City, OK 73114","2026/05/04",999,"2 Beds","Apartment"
"4300 Caravel Dr, Yukon, OK 73099","2026/05/04",1119,"1 Bed","Apartment"
"4300 Caravel Dr, Yukon, OK 73099","2026/05/04",1309,"2 Beds","Apartment"
"4300 Caravel Dr, Yukon, OK 73099","2026/05/04",1689,"3 Beds","Apartment"
"1125 W Edmond Rd, Edmond, OK 73003","2026/05/04",1320,"1 Bed","Apartment"
"1125 W Edmond Rd, Edmond, OK 73003","2026/05/04",1670,"2 Beds","Apartment"
"1125 W Edmond Rd, Edmond, OK 73003","2026/05/04",2215,"3 Beds","Apartment"
"2904 Treight Creek Ln, Midwest City, OK 73110","2026/05/04",1495,"3 Beds",NA
"9516 S Shields Blvd, Moore, OK 73160","2026/05/04",890,"1 Bed","Apartment"
"9516 S Shields Blvd, Moore, OK 73160","2026/05/04",1000,"2 Beds","Apartment"
"605 SW 119th St, Oklahoma City, OK 73170","2026/05/04",1050,"1 Bed","Apartment"
"605 SW 119th St, Oklahoma City, OK 73170","2026/05/04",1199,"2 Beds","Apartment"
"605 SW 119th St, Oklahoma City, OK 73170","2026/05/04",1600,"3 Beds","Apartment"
"700 NE 122nd St, Oklahoma City, OK 73114","2026/05/04",875,"1 Bed","Apartment"
"700 NE 122nd St, Oklahoma City, OK 73114","2026/05/04",995,"2 Beds","Apartment"
"900 NE 122nd St, Oklahoma City, OK 73114","2026/05/04",915,"1 Bed","Apartment"
"900 NE 122nd St, Oklahoma City, OK 73114","2026/05/04",1085,"2 Beds","Apartment"
"140 N Park Ave, Oklahoma City, OK 73102","2026/05/04",1572,"Studio","Apartment"
"140 N Park Ave, Oklahoma City, OK 73102","2026/05/04",2276,"1 Bed","Apartment"
