"Address","Date","Rent","Aprt_Type","Building_Type"
"100-300 Riverfront Dr, Detroit, MI 48226","2026/07/07",1387,"1 Bed","Apartment"
"100-300 Riverfront Dr, Detroit, MI 48226","2026/07/07",1730,"2 Beds","Apartment"
"10 Witherell St, Detroit, MI 48226","2026/07/07",1070,"Studio","Apartment"
"10 Witherell St, Detroit, MI 48226","2026/07/07",1510,"1 Bed","Apartment"
"10 Witherell St, Detroit, MI 48226","2026/07/07",2110,"2 Beds+","Apartment"
"440 Alfred St, Detroit, MI 48201","2026/07/07",1540,"Studio","Apartment"
"440 Alfred St, Detroit, MI 48201","2026/07/07",2005,"1 Bed","Apartment"
"440 Alfred St, Detroit, MI 48201","2026/07/07",2600,"2 Beds+","Apartment"
"1265 Washington Blvd, Detroit, MI 48226","2026/07/07",2125,"1 Bed","Apartment"
"1265 Washington Blvd, Detroit, MI 48226","2026/07/07",3740,"2 Beds","Apartment"
"411 Piquette St, Detroit, MI 48202","2026/07/07",1430,"Studio","Apartment"
"411 Piquette St, Detroit, MI 48202","2026/07/07",1480,"1 Bed","Apartment"
"3439 Woodward Ave, Detroit, MI 48201","2026/07/07",1375,"Studio","Apartment"
"3439 Woodward Ave, Detroit, MI 48201","2026/07/07",1225,"1 Bed","Apartment"
"3439 Woodward Ave, Detroit, MI 48201","2026/07/07",2345,"2 Beds","Apartment"
"1600 Antietam Ave, Detroit, MI 48207","2026/07/07",900,"Studio","Apartment"
"1600 Antietam Ave, Detroit, MI 48207","2026/07/07",1025,"1 Bed","Apartment"
"8805 Kingswood St, Detroit, MI 48221","2026/07/07",1035,"1 Bed","Apartment"
"8805 Kingswood St, Detroit, MI 48221","2026/07/07",1095,"2 Beds","Apartment"
NA,NA,NA,NA,NA
"2911 W Grand Blvd, Detroit, MI 48202","2026/07/07",2295,"2 Beds",NA
"2701 Park Ave, Detroit, MI 48201","2026/07/07",1311,"Studio","Apartment"
"2701 Park Ave, Detroit, MI 48201","2026/07/07",1825,"1 Bed","Apartment"
"21516 Dequindre Rd, Warren, MI 48091","2026/07/07",1040,"1 Bed","Apartment"
"21516 Dequindre Rd, Warren, MI 48091","2026/07/07",1340,"2 Beds","Apartment"
"16500 N Park Dr, Southfield, MI 48075","2026/07/07",1319,"Studio","Apartment"
"16500 N Park Dr, Southfield, MI 48075","2026/07/07",1399,"1 Bed","Apartment"
"16500 N Park Dr, Southfield, MI 48075","2026/07/07",1939,"2 Beds+","Apartment"
"4900 Heather Dr, Dearborn, MI 48126","2026/07/07",1293,"1 Bed","Apartment"
"4900 Heather Dr, Dearborn, MI 48126","2026/07/07",1695,"2 Beds","Apartment"
"1249 Griswold St, Detroit, MI 48226","2026/07/07",1100,"2 Beds",NA
"10 Grand River Ave, Detroit, MI 48226","2026/07/07",1550,"1 Bed","Apartment"
"10 Grand River Ave, Detroit, MI 48226","2026/07/07",2250,"2 Beds","Apartment"
"40 Davenport St, Detroit, MI 48201","2026/07/07",983,"Studio","Apartment"
"40 Davenport St, Detroit, MI 48201","2026/07/07",1300,"1 Bed","Apartment"
"40 Davenport St, Detroit, MI 48201","2026/07/07",1980,"2 Beds","Apartment"
"1212 Griswold St, Detroit, MI 48226","2026/07/07",1400,"Studio","Apartment"
"1212 Griswold St, Detroit, MI 48226","2026/07/07",1510,"1 Bed","Apartment"
"1212 Griswold St, Detroit, MI 48226","2026/07/07",2730,"2 Beds","Apartment"
"1145 Griswold St, Detroit, MI 48226","2026/07/07",1450,"Studio","Apartment"
"1145 Griswold St, Detroit, MI 48226","2026/07/07",1369,"1 Bed","Apartment"
"1145 Griswold St, Detroit, MI 48226","2026/07/07",2400,"2 Beds","Apartment"
"3150 Woodward Ave, Detroit, MI 48201","2026/07/07",1815,"1 Bed","Apartment"
