"Address","Date","Rent","Aprt_Type","Building_Type"
"4711 E Riverside Dr, Austin, TX 78741","2026/01/12",1095,"Studio","Apartment"
"4711 E Riverside Dr, Austin, TX 78741","2026/01/12",1295,"1 Bed","Apartment"
"4711 E Riverside Dr, Austin, TX 78741","2026/01/12",1645,"2 Beds","Apartment"
"2801 Wells Branch Pky, Austin, TX 78728","2026/01/12",1070,"1 Bed","Apartment"
"2801 Wells Branch Pky, Austin, TX 78728","2026/01/12",1405,"2 Beds","Apartment"
"2801 Wells Branch Pky, Austin, TX 78728","2026/01/12",2000,"3 Beds","Apartment"
"8110 Blue Goose Rd, Manor, TX 78653","2026/01/12",1035,"Studio","Apartment"
"8110 Blue Goose Rd, Manor, TX 78653","2026/01/12",1150,"1 Bed","Apartment"
"8110 Blue Goose Rd, Manor, TX 78653","2026/01/12",1505,"2 Beds+","Apartment"
"11600 Spirit Dr, Del Valle, TX 78617","2026/01/12",1185,"Studio","Apartment"
"11600 Spirit Dr, Del Valle, TX 78617","2026/01/12",1453,"1 Bed","Apartment"
"11600 Spirit Dr, Del Valle, TX 78617","2026/01/12",2039,"2 Beds","Apartment"
"10301 Farm-to-Market Rd 2222 Rd 2222, Austin, TX 78730","2026/01/12",1148,"1 Bed","Apartment"
"10301 Farm-to-Market Rd 2222 Rd 2222, Austin, TX 78730","2026/01/12",1365,"2 Beds","Apartment"
"1300 Crossing Pl, Austin, TX 78741","2026/01/12",1097,"2 Beds","Apartment"
"1300 Crossing Pl, Austin, TX 78741","2026/01/12",1351,"3 Beds","Apartment"
"1300 Crossing Pl, Austin, TX 78741","2026/01/12",1418,"4 Beds","Apartment"
"7631 US Hwy 290 W, Austin, TX 78736","2026/01/12",1135,"1 Bed","Apartment"
"7631 US Hwy 290 W, Austin, TX 78736","2026/01/12",1500,"2 Beds","Apartment"
"7631 US Hwy 290 W, Austin, TX 78736","2026/01/12",1850,"3 Beds","Apartment"
"8800 N Interstate 35, Austin, TX 78753","2026/01/12",699,"1 Bed","Apartment"
"8800 N Interstate 35, Austin, TX 78753","2026/01/12",799,"2 Beds","Apartment"
"1106 Reinli St, Austin, TX 78723","2026/01/12",799,"Studio","Apartment"
"1106 Reinli St, Austin, TX 78723","2026/01/12",799,"1 Bed","Apartment"
"1106 Reinli St, Austin, TX 78723","2026/01/12",929,"2 Beds","Apartment"
"12041 Dessau Rd, Austin, TX 78754","2026/01/12",909,"1 Bed","Apartment"
"12041 Dessau Rd, Austin, TX 78754","2026/01/12",1111,"2 Beds","Apartment"
"12041 Dessau Rd, Austin, TX 78754","2026/01/12",1591,"3 Beds","Apartment"
"8600 State Highway 71, Austin, TX 78735","2026/01/12",1010,"1 Bed","Apartment"
"8600 State Highway 71, Austin, TX 78735","2026/01/12",1370,"2 Beds","Apartment"
"8600 State Highway 71, Austin, TX 78735","2026/01/12",1915,"3 Beds","Apartment"
"8200-8220 Research Blvd, Austin, TX 78758","2026/01/12",949,"1 Bed","Apartment"
"8200-8220 Research Blvd, Austin, TX 78758","2026/01/12",1079,"2 Beds","Apartment"
"8200-8220 Research Blvd, Austin, TX 78758","2026/01/12",1739,"3 Beds","Apartment"
"4900 E Oltorf St, Austin, TX 78741","2026/01/12",1262,"1 Bed","Apartment"
"4900 E Oltorf St, Austin, TX 78741","2026/01/12",1154,"2 Beds","Apartment"
"4900 E Oltorf St, Austin, TX 78741","2026/01/12",1787,"3 Beds","Apartment"
"14508 Owen Tech Blvd, Austin, TX 78728","2026/01/12",1325,"Studio","Apartment"
"14508 Owen Tech Blvd, Austin, TX 78728","2026/01/12",1425,"1 Bed","Apartment"
"14508 Owen Tech Blvd, Austin, TX 78728","2026/01/12",1699,"2 Beds","Apartment"
"6701 Burnet Rd, Austin, TX 78757","2026/01/12",1009,"Studio","Apartment"
"6701 Burnet Rd, Austin, TX 78757","2026/01/12",1357,"1 Bed","Apartment"
"6701 Burnet Rd, Austin, TX 78757","2026/01/12",1918,"2 Beds","Apartment"
"7330 Bluff Springs Rd, Austin, TX 78744","2026/01/12",1151,"1 Bed","Apartment"
"7330 Bluff Springs Rd, Austin, TX 78744","2026/01/12",1431,"2 Beds","Apartment"
"7330 Bluff Springs Rd, Austin, TX 78744","2026/01/12",1808,"3 Beds","Apartment"
"1301 W 5th St, Austin, TX 78703","2026/01/12",1690,"Studio","Apartment"
"1301 W 5th St, Austin, TX 78703","2026/01/12",1702,"1 Bed","Apartment"
"1301 W 5th St, Austin, TX 78703","2026/01/12",2385,"2 Beds+","Apartment"
"4411 S Congress Ave, Austin, TX 78745","2026/01/12",1094,"Studio","Apartment"
"4411 S Congress Ave, Austin, TX 78745","2026/01/12",1299,"1 Bed","Apartment"
"4411 S Congress Ave, Austin, TX 78745","2026/01/12",1725,"2 Beds","Apartment"
