"Address","Date","Rent","Aprt_Type","Building_Type"
"6800 Brendon Way W Dr, Indianapolis, IN 46226","2026/02/02",1050,"1 Bed","Apartment"
"6800 Brendon Way W Dr, Indianapolis, IN 46226","2026/02/02",1195,"2 Beds","Apartment"
"6800 Brendon Way W Dr, Indianapolis, IN 46226","2026/02/02",1475,"3 Beds","Apartment"
"6349 N College Ave, Indianapolis, IN 46220","2026/02/02",1295,"Studio","Apartment"
"6349 N College Ave, Indianapolis, IN 46220","2026/02/02",1495,"1 Bed","Apartment"
"6349 N College Ave, Indianapolis, IN 46220","2026/02/02",2295,"2 Beds","Apartment"
"11335 N Michigan Rd, Zionsville, IN 46077","2026/02/02",1424,"1 Bed","Apartment"
"11335 N Michigan Rd, Zionsville, IN 46077","2026/02/02",1869,"2 Beds","Apartment"
"11335 N Michigan Rd, Zionsville, IN 46077","2026/02/02",2399,"3 Beds","Apartment"
"2234 Hermitage Way, Indianapolis, IN 46224","2026/02/02",1054,"1 Bed","Apartment"
"2234 Hermitage Way, Indianapolis, IN 46224","2026/02/02",1158,"2 Beds","Apartment"
"2234 Hermitage Way, Indianapolis, IN 46224","2026/02/02",1443,"3 Beds","Apartment"
"9075 Autumn Woods Dr, Indianapolis, IN 46250","2026/02/02",999,"1 Bed","Apartment"
"9075 Autumn Woods Dr, Indianapolis, IN 46250","2026/02/02",1225,"2 Beds","Apartment"
"7135 Thatcher Dr, Indianapolis, IN 46256","2026/02/02",1199,"1 Bed","Apartment"
"7135 Thatcher Dr, Indianapolis, IN 46256","2026/02/02",1235,"2 Beds","Apartment"
"7266 Lockwood Ln, Indianapolis, IN 46217","2026/02/02",840,"1 Bed","Apartment"
"7266 Lockwood Ln, Indianapolis, IN 46217","2026/02/02",1140,"2 Beds","Apartment"
"6111 Allisonville Rd, Indianapolis, IN 46220","2026/02/02",899,"1 Bed","Apartment"
"6111 Allisonville Rd, Indianapolis, IN 46220","2026/02/02",1325,"2 Beds","Apartment"
