"Address","Date","Rent","Aprt_Type","Building_Type"
"780 William T Morrissey Blvd, Boston, MA 02122","2026/06/02",2294,"Studio","Apartment"
"780 William T Morrissey Blvd, Boston, MA 02122","2026/06/02",3158,"1 Bed","Apartment"
"24 Oyster Bay Rd, Boston, MA 02125","2026/06/02",2606,"1 Bed","Apartment"
"24 Oyster Bay Rd, Boston, MA 02125","2026/06/02",2647,"2 Beds","Apartment"
"24 Oyster Bay Rd, Boston, MA 02125","2026/06/02",4067,"3 Beds","Apartment"
"1440 Beacon St, Brookline, MA 02446","2026/06/02",2890,"Studio","Apartment"
"1440 Beacon St, Brookline, MA 02446","2026/06/02",3046,"1 Bed","Apartment"
"201 Sherman Rd, Brookline, MA 02467","2026/06/02",3195,"1 Bed","Apartment"
"201 Sherman Rd, Brookline, MA 02467","2026/06/02",4095,"2 Beds","Apartment"
"1200-1220 Adams St, Dorchester, MA 02124","2026/06/02",2631,"1 Bed","Apartment"
"1200-1220 Adams St, Dorchester, MA 02124","2026/06/02",3235,"2 Beds","Apartment"
"1 Hancock Village Dr, Chestnut Hill, MA 02467","2026/06/02",2535,"1 Bed","Apartment"
"1 Hancock Village Dr, Chestnut Hill, MA 02467","2026/06/02",3360,"2 Beds","Apartment"
"1 Hancock Village Dr, Chestnut Hill, MA 02467","2026/06/02",5195,"3 Beds","Apartment"
"401 Mount Vernon St, Boston, MA 02125","2026/06/02",2338,"Studio","Apartment"
"401 Mount Vernon St, Boston, MA 02125","2026/06/02",2666,"1 Bed","Apartment"
"401 Mount Vernon St, Boston, MA 02125","2026/06/02",3324,"2 Beds+","Apartment"
"100 Pier 4 Blvd, Boston, MA 02210","2026/06/02",4105,"1 Bed","Apartment"
"100 Pier 4 Blvd, Boston, MA 02210","2026/06/02",6932,"2 Beds","Apartment"
"3200 Washington St, Boston, MA 02130","2026/06/02",2980,"Studio","Apartment"
"3200 Washington St, Boston, MA 02130","2026/06/02",5040,"3 Beds","Apartment"
"1335 Boylston St, Boston, MA 02215","2026/06/02",3519,"Studio","Apartment"
"1335 Boylston St, Boston, MA 02215","2026/06/02",4221,"1 Bed","Apartment"
"1335 Boylston St, Boston, MA 02215","2026/06/02",6682,"2 Beds","Apartment"
"32-32 Garrison St, Boston, MA 02116","2026/06/02",4103,"1 Bed","Apartment"
"32-32 Garrison St, Boston, MA 02116","2026/06/02",4649,"2 Beds","Apartment"
"345 Harrison Ave, Boston, MA 02118","2026/06/02",3104,"Studio","Apartment"
"345 Harrison Ave, Boston, MA 02118","2026/06/02",3661,"1 Bed","Apartment"
"1260 Boylston St, Boston, MA 02215","2026/06/02",3281,"Studio","Apartment"
"1260 Boylston St, Boston, MA 02215","2026/06/02",4500,"1 Bed","Apartment"
"1260 Boylston St, Boston, MA 02215","2026/06/02",5593,"2 Beds","Apartment"
"1970 Dorchester Ave, Boston, MA 02124","2026/06/02",2250,"Studio","Apartment"
"1970 Dorchester Ave, Boston, MA 02124","2026/06/02",2550,"1 Bed","Apartment"
"744 Columbus Ave, Boston, MA 02120","2026/06/02",1954,"2 Beds","Apartment"
"744 Columbus Ave, Boston, MA 02120","2026/06/02",1999,"3 Beds","Apartment"
"744 Columbus Ave, Boston, MA 02120","2026/06/02",2304,"4 Beds","Apartment"
"525 Lincoln St, Allston, MA 02134","2026/06/02",3467,"Studio","Apartment"
"525 Lincoln St, Allston, MA 02134","2026/06/02",2054,"3 Beds","Apartment"
"525 Lincoln St, Allston, MA 02134","2026/06/02",1790,"4 Beds","Apartment"
"180 Central Ave, Chelsea, MA 02150","2026/06/02",2311,"Studio","Apartment"
"180 Central Ave, Chelsea, MA 02150","2026/06/02",2551,"1 Bed","Apartment"
"180 Central Ave, Chelsea, MA 02150","2026/06/02",3412,"2 Beds","Apartment"
NA,NA,NA,NA,NA
"151 N First St, Cambridge, MA 02141","2026/06/02",2789,"Studio","Apartment"
"151 N First St, Cambridge, MA 02141","2026/06/02",3884,"1 Bed","Apartment"
"151 N First St, Cambridge, MA 02141","2026/06/02",4783,"2 Beds+","Apartment"
"1 Newport Ave, Quincy, MA 02171","2026/06/02",2614,"1 Bed","Apartment"
"1 Newport Ave, Quincy, MA 02171","2026/06/02",3237,"2 Beds","Apartment"
"95 St. Alphonsus St, Boston, MA 02120","2026/06/02",3430,"Studio","Apartment"
"95 St. Alphonsus St, Boston, MA 02120","2026/06/02",4055,"1 Bed","Apartment"
"95 St. Alphonsus St, Boston, MA 02120","2026/06/02",4975,"2 Beds","Apartment"
"67 Saint Germain St, Boston, MA 02115","2026/06/02",2500,"Studio","Apartment"
"67 Saint Germain St, Boston, MA 02115","2026/06/02",2900,"1 Bed","Apartment"
"67 Saint Germain St, Boston, MA 02115","2026/06/02",4075,"2 Beds","Apartment"
"1 India St, Boston, MA 02109","2026/06/02",3709,"1 Bed","Apartment"
"1 India St, Boston, MA 02109","2026/06/02",4572,"2 Beds","Apartment"
NA,NA,NA,NA,NA
"3686 Washington St, Boston, MA 02130","2026/06/02",2790,"Studio","Apartment"
"3686 Washington St, Boston, MA 02130","2026/06/02",2935,"1 Bed","Apartment"
"3686 Washington St, Boston, MA 02130","2026/06/02",3695,"2 Beds+","Apartment"
"1555 Vfw Pky, Boston, MA 02132","2026/06/02",2595,"Studio","Apartment"
"1555 Vfw Pky, Boston, MA 02132","2026/06/02",2645,"1 Bed","Apartment"
"1555 Vfw Pky, Boston, MA 02132","2026/06/02",4589,"2 Beds","Apartment"
"35-43 Braintree St, Boston, MA 02134","2026/06/02",2507,"Studio","Apartment"
"35-43 Braintree St, Boston, MA 02134","2026/06/02",2942,"1 Bed","Apartment"
"35-43 Braintree St, Boston, MA 02134","2026/06/02",4046,"2 Beds+","Apartment"
NA,NA,NA,NA,NA
