"Address","Date","Rent","Aprt_Type","Building_Type"
"780 William T Morrissey Blvd, Boston, MA 02122","2026/05/04",2249,"Studio","Apartment"
"780 William T Morrissey Blvd, Boston, MA 02122","2026/05/04",2699,"1 Bed","Apartment"
"24 Oyster Bay Rd, Boston, MA 02125","2026/05/04",2471,"1 Bed","Apartment"
"24 Oyster Bay Rd, Boston, MA 02125","2026/05/04",2789,"2 Beds","Apartment"
"24 Oyster Bay Rd, Boston, MA 02125","2026/05/04",4098,"3 Beds","Apartment"
"1440 Beacon St, Brookline, MA 02446","2026/05/04",2890,"Studio","Apartment"
"1440 Beacon St, Brookline, MA 02446","2026/05/04",3046,"1 Bed","Apartment"
"1200-1220 Adams St, Dorchester, MA 02124","2026/05/04",2361,"Studio","Apartment"
"1200-1220 Adams St, Dorchester, MA 02124","2026/05/04",2631,"1 Bed","Apartment"
"1200-1220 Adams St, Dorchester, MA 02124","2026/05/04",3235,"2 Beds","Apartment"
"1 Hancock Village Dr, Chestnut Hill, MA 02467","2026/05/04",2885,"1 Bed","Apartment"
"1 Hancock Village Dr, Chestnut Hill, MA 02467","2026/05/04",3395,"2 Beds","Apartment"
"1 Hancock Village Dr, Chestnut Hill, MA 02467","2026/05/04",5195,"3 Beds","Apartment"
"201 Sherman Rd, Brookline, MA 02467","2026/05/04",3095,"1 Bed","Apartment"
"201 Sherman Rd, Brookline, MA 02467","2026/05/04",4095,"2 Beds","Apartment"
"201 Sherman Rd, Brookline, MA 02467","2026/05/04",9350,"3 Beds","Apartment"
"32-32 Garrison St, Boston, MA 02116","2026/05/04",4063,"1 Bed","Apartment"
"32-32 Garrison St, Boston, MA 02116","2026/05/04",5581,"2 Beds","Apartment"
"345 Harrison Ave, Boston, MA 02118","2026/05/04",3126,"Studio","Apartment"
"345 Harrison Ave, Boston, MA 02118","2026/05/04",3467,"1 Bed","Apartment"
"345 Harrison Ave, Boston, MA 02118","2026/05/04",5659,"2 Beds+","Apartment"
"401 Mount Vernon St, Boston, MA 02125","2026/05/04",2473,"Studio","Apartment"
"401 Mount Vernon St, Boston, MA 02125","2026/05/04",2545,"1 Bed","Apartment"
"401 Mount Vernon St, Boston, MA 02125","2026/05/04",3285,"2 Beds+","Apartment"
"100 Pier 4 Blvd, Boston, MA 02210","2026/05/04",3149,"Studio","Apartment"
"100 Pier 4 Blvd, Boston, MA 02210","2026/05/04",3834,"1 Bed","Apartment"
"100 Pier 4 Blvd, Boston, MA 02210","2026/05/04",6432,"2 Beds","Apartment"
"3200 Washington St, Boston, MA 02130","2026/05/04",3970,"2 Beds","Apartment"
"3200 Washington St, Boston, MA 02130","2026/05/04",4700,"3 Beds","Apartment"
"744 Columbus Ave, Boston, MA 02120","2026/05/04",1954,"2 Beds","Apartment"
"744 Columbus Ave, Boston, MA 02120","2026/05/04",1999,"3 Beds","Apartment"
"744 Columbus Ave, Boston, MA 02120","2026/05/04",2304,"4 Beds","Apartment"
"1260 Boylston St, Boston, MA 02215","2026/05/04",3281,"Studio","Apartment"
"1260 Boylston St, Boston, MA 02215","2026/05/04",4500,"1 Bed","Apartment"
"1260 Boylston St, Boston, MA 02215","2026/05/04",5593,"2 Beds","Apartment"
"1970 Dorchester Ave, Boston, MA 02124","2026/05/04",2175,"Studio","Apartment"
"1970 Dorchester Ave, Boston, MA 02124","2026/05/04",2550,"1 Bed","Apartment"
NA,NA,NA,NA,NA
"1 Newport Ave, Quincy, MA 02171","2026/05/04",2595,"1 Bed","Apartment"
"1 Newport Ave, Quincy, MA 02171","2026/05/04",3276,"2 Beds","Apartment"
"151 N First St, Cambridge, MA 02141","2026/05/04",2859,"Studio","Apartment"
"151 N First St, Cambridge, MA 02141","2026/05/04",3540,"1 Bed","Apartment"
"151 N First St, Cambridge, MA 02141","2026/05/04",4709,"2 Beds+","Apartment"
NA,NA,NA,NA,NA
"525 Lincoln St, Allston, MA 02134","2026/05/04",3362,"Studio","Apartment"
"525 Lincoln St, Allston, MA 02134","2026/05/04",2054,"3 Beds","Apartment"
"525 Lincoln St, Allston, MA 02134","2026/05/04",1890,"4 Beds","Apartment"
"95 St. Alphonsus St, Boston, MA 02120","2026/05/04",3430,"Studio","Apartment"
"95 St. Alphonsus St, Boston, MA 02120","2026/05/04",4055,"1 Bed","Apartment"
"95 St. Alphonsus St, Boston, MA 02120","2026/05/04",4975,"2 Beds","Apartment"
"45 E Newton St, Boston, MA 02118","2026/05/04",3690,"1 Bed","Apartment"
"45 E Newton St, Boston, MA 02118","2026/05/04",4790,"2 Beds","Apartment"
"411 D St, Boston, MA 02210","2026/05/04",3083,"Studio","Apartment"
"411 D St, Boston, MA 02210","2026/05/04",3172,"1 Bed","Apartment"
"411 D St, Boston, MA 02210","2026/05/04",4067,"2 Beds+","Apartment"
"1350 Boylston St, Boston, MA 02215","2026/05/04",3641,"Studio","Apartment"
"1350 Boylston St, Boston, MA 02215","2026/05/04",4465,"1 Bed","Apartment"
"1350 Boylston St, Boston, MA 02215","2026/05/04",5777,"2 Beds","Apartment"
"1 Canal St, Boston, MA 02114","2026/05/04",3238,"Studio","Apartment"
"1 Canal St, Boston, MA 02114","2026/05/04",3943,"1 Bed","Apartment"
"1 Canal St, Boston, MA 02114","2026/05/04",5425,"2 Beds","Apartment"
"1 Nashua St, Boston, MA 02114","2026/05/04",3155,"Studio","Apartment"
"1 Nashua St, Boston, MA 02114","2026/05/04",3745,"1 Bed","Apartment"
"1 Nashua St, Boston, MA 02114","2026/05/04",5180,"2 Beds+","Apartment"
"41 Edgerly Rd, Boston, MA 02115","2026/05/04",2600,"Studio","Apartment"
"41 Edgerly Rd, Boston, MA 02115","2026/05/04",2950,"1 Bed","Apartment"
"10 New St, Boston, MA 02128","2026/05/04",2547,"Studio","Apartment"
