"Address","Date","Rent","Aprt_Type","Building_Type"
"780 William T Morrissey Blvd, Boston, MA 02122","2026/07/07",2259,"",NA
"24 Oyster Bay Rd, Boston, MA 02125","2026/07/07",2613,"1 Bed","Apartment"
"24 Oyster Bay Rd, Boston, MA 02125","2026/07/07",2544,"2 Beds","Apartment"
"24 Oyster Bay Rd, Boston, MA 02125","2026/07/07",4253,"3 Beds","Apartment"
"1200-1220 Adams St, Dorchester, MA 02124","2026/07/07",2716,"1 Bed","Apartment"
"1200-1220 Adams St, Dorchester, MA 02124","2026/07/07",3435,"2 Beds","Apartment"
"1 Hancock Village Dr, Chestnut Hill, MA 02467","2026/07/07",2785,"1 Bed","Apartment"
"1 Hancock Village Dr, Chestnut Hill, MA 02467","2026/07/07",3630,"2 Beds","Apartment"
"1 Hancock Village Dr, Chestnut Hill, MA 02467","2026/07/07",5470,"3 Beds","Apartment"
"1440 Beacon St, Brookline, MA 02446","2026/07/07",2890,"Studio","Apartment"
"1440 Beacon St, Brookline, MA 02446","2026/07/07",3046,"1 Bed","Apartment"
"201 Sherman Rd, Brookline, MA 02467","2026/07/07",3145,"1 Bed","Apartment"
"201 Sherman Rd, Brookline, MA 02467","2026/07/07",4095,"2 Beds","Apartment"
"201 Sherman Rd, Brookline, MA 02467","2026/07/07",9655,"3 Beds","Apartment"
"1335 Boylston St, Boston, MA 02215","2026/07/07",3884,"Studio","Apartment"
"1335 Boylston St, Boston, MA 02215","2026/07/07",4221,"1 Bed","Apartment"
"1335 Boylston St, Boston, MA 02215","2026/07/07",6682,"2 Beds","Apartment"
"32-32 Garrison St, Boston, MA 02116","2026/07/07",4152,"1 Bed","Apartment"
"32-32 Garrison St, Boston, MA 02116","2026/07/07",6464,"2 Beds","Apartment"
"345 Harrison Ave, Boston, MA 02118","2026/07/07",3182,"Studio","Apartment"
"345 Harrison Ave, Boston, MA 02118","2026/07/07",3736,"1 Bed","Apartment"
"401 Mount Vernon St, Boston, MA 02125","2026/07/07",2753,"Studio","Apartment"
"401 Mount Vernon St, Boston, MA 02125","2026/07/07",2465,"1 Bed","Apartment"
