"Address","Date","Rent","Aprt_Type","Building_Type"
"13100 Margie Ln, Raleigh, NC 27603","2026/05/04",1445,"1 Bed","Apartment"
"13100 Margie Ln, Raleigh, NC 27603","2026/05/04",1670,"2 Beds","Apartment"
"13100 Margie Ln, Raleigh, NC 27603","2026/05/04",1865,"3 Beds","Apartment"
"7100 Homestead Heights Ln, Raleigh, NC 27616","2026/05/04",1265,"1 Bed","Apartment"
"7100 Homestead Heights Ln, Raleigh, NC 27616","2026/05/04",1700,"2 Beds","Apartment"
"7100 Homestead Heights Ln, Raleigh, NC 27616","2026/05/04",2335,"3 Beds","Apartment"
"11100 Madison Elm Ln, Raleigh, NC 27614","2026/05/04",1318,"1 Bed","Apartment"
"11100 Madison Elm Ln, Raleigh, NC 27614","2026/05/04",1611,"2 Beds","Apartment"
"15101 Royal Creek Dr, Raleigh, NC 27603","2026/05/04",1358,"1 Bed","Apartment"
"15101 Royal Creek Dr, Raleigh, NC 27603","2026/05/04",1728,"2 Beds","Apartment"
"15101 Royal Creek Dr, Raleigh, NC 27603","2026/05/04",2163,"3 Beds","Apartment"
"11201 Tidewater Ln, Raleigh, NC 27614","2026/05/04",1200,"1 Bed","Apartment"
"11201 Tidewater Ln, Raleigh, NC 27614","2026/05/04",1875,"2 Beds","Apartment"
"1250 Hitchings Way, Durham, NC 27713","2026/05/04",1448,"Studio","Apartment"
"1250 Hitchings Way, Durham, NC 27713","2026/05/04",1493,"1 Bed","Apartment"
"1250 Hitchings Way, Durham, NC 27713","2026/05/04",1928,"2 Beds+","Apartment"
"108 S Main St, Rolesville, NC 27571","2026/05/04",1295,"1 Bed","Apartment"
"108 S Main St, Rolesville, NC 27571","2026/05/04",1788,"2 Beds","Apartment"
"621 Glen Manor Trl, Knightdale, NC 27545","2026/05/04",1290,"1 Bed","Apartment"
"621 Glen Manor Trl, Knightdale, NC 27545","2026/05/04",1630,"2 Beds","Apartment"
"621 Glen Manor Trl, Knightdale, NC 27545","2026/05/04",2010,"3 Beds","Apartment"
"7303 Bryn Athyn Way, Raleigh, NC 27615","2026/05/04",1259,"1 Bed","Apartment"
"7303 Bryn Athyn Way, Raleigh, NC 27615","2026/05/04",1484,"2 Beds","Apartment"
"5721 Goodstone Dr, Raleigh, NC 27616","2026/05/04",1387,"1 Bed","Apartment"
"5721 Goodstone Dr, Raleigh, NC 27616","2026/05/04",1625,"2 Beds","Apartment"
"319 W Lenoir St, Raleigh, NC 27601","2026/05/04",1709,"Studio","Apartment"
"319 W Lenoir St, Raleigh, NC 27601","2026/05/04",1868,"1 Bed","Apartment"
