"","Address","Date","Rent","Aprt_Type","Building_Type"
"65","511 Fayetteville St, Raleigh, NC 27601","2026/01/01",1660,"1 Bed","Apartment"
"66","511 Fayetteville St, Raleigh, NC 27601","2026/01/01",2587,"2 Beds","Apartment"
"67","1331 Chester Ave, Raleigh, NC 27608","2026/01/01",1643,"Studio","Apartment"
"68","1331 Chester Ave, Raleigh, NC 27608","2026/01/01",1589,"1 Bed","Apartment"
"69","1331 Chester Ave, Raleigh, NC 27608","2026/01/01",2262,"2 Beds+","Apartment"
"70","3520 Pinetree Grove Ln, Raleigh, NC 27604","2026/01/01",1279,"1 Bed","Apartment"
"71","3520 Pinetree Grove Ln, Raleigh, NC 27604","2026/01/01",1679,"2 Beds","Apartment"
"72","4710 Mint Leaf Ln, Raleigh, NC 27612","2026/01/01",1573,"1 Bed","Apartment"
"73","4710 Mint Leaf Ln, Raleigh, NC 27612","2026/01/01",1783,"2 Beds","Apartment"
"74","4710 Mint Leaf Ln, Raleigh, NC 27612","2026/01/01",2103,"3 Beds","Apartment"
"75","700 Corporate Center Dr, Raleigh, NC 27607","2026/01/01",1198,"Studio","Apartment"
"76","700 Corporate Center Dr, Raleigh, NC 27607","2026/01/01",1384,"1 Bed","Apartment"
"77","700 Corporate Center Dr, Raleigh, NC 27607","2026/01/01",1672,"2 Beds","Apartment"
"78","319 W Lenoir St, Raleigh, NC 27601","2026/01/01",1695,"Studio","Apartment"
"79","319 W Lenoir St, Raleigh, NC 27601","2026/01/01",1709,"1 Bed","Apartment"
"80","319 W Lenoir St, Raleigh, NC 27601","2026/01/01",2995,"2 Beds+","Apartment"
"81","6601 Roxboro St, Raleigh, NC 27616","2026/01/01",1199,"Studio","Apartment"
"82","6601 Roxboro St, Raleigh, NC 27616","2026/01/01",1299,"1 Bed","Apartment"
"83","6601 Roxboro St, Raleigh, NC 27616","2026/01/01",1599,"2 Beds+","Apartment"
"84","121 Kindley St, Raleigh, NC 27601","2026/01/01",1251,"Studio","Apartment"
"85","121 Kindley St, Raleigh, NC 27601","2026/01/01",1514,"1 Bed","Apartment"
"86","121 Kindley St, Raleigh, NC 27601","2026/01/01",2064,"2 Beds","Apartment"
"87","1906 Clark Ave, Raleigh, NC 27605","2026/01/01",1469,"Studio","Apartment"
"88","1906 Clark Ave, Raleigh, NC 27605","2026/01/01",1459,"1 Bed","Apartment"
"89","1906 Clark Ave, Raleigh, NC 27605","2026/01/01",2369,"2 Beds","Apartment"
"90","7900 Accent Brier Ln, Raleigh, NC 27617","2026/01/01",1379,"1 Bed","Apartment"
"91","7900 Accent Brier Ln, Raleigh, NC 27617","2026/01/01",1719,"2 Beds","Apartment"
"92","2717 Capital Blvd, Raleigh, NC 27604","2026/01/01",896,"Studio","Apartment"
"93","2717 Capital Blvd, Raleigh, NC 27604","2026/01/01",963,"1 Bed","Apartment"
"94","151 Parker Pl Dr, Raleigh, NC 27603","2026/01/01",1469,"1 Bed","Apartment"
"95","151 Parker Pl Dr, Raleigh, NC 27603","2026/01/01",1769,"2 Beds","Apartment"
"96","151 Parker Pl Dr, Raleigh, NC 27603","2026/01/01",2225,"3 Beds","Apartment"
"97","310 Taryn Ave, Raleigh, NC 27603","2026/01/01",1368,"1 Bed","Apartment"
"98","310 Taryn Ave, Raleigh, NC 27603","2026/01/01",1629,"2 Beds","Apartment"
"99","310 Taryn Ave, Raleigh, NC 27603","2026/01/01",1970,"3 Beds","Apartment"
"100","2400 Sanders Ave, Durham, NC 27703","2026/01/01",1315,"1 Bed","Apartment"
"101","2400 Sanders Ave, Durham, NC 27703","2026/01/01",1594,"2 Beds","Apartment"
"102","2400 Sanders Ave, Durham, NC 27703","2026/01/01",2285,"3 Beds","Apartment"
"103","500 Abberly Crest Blvd, Garner, NC 27529","2026/01/01",1125,"1 Bed","Apartment"
"104","500 Abberly Crest Blvd, Garner, NC 27529","2026/01/01",1304,"2 Beds","Apartment"
"105","1010 Legacy Village Dr, Cary, NC 27518","2026/01/01",1191,"1 Bed","Apartment"
"106","1010 Legacy Village Dr, Cary, NC 27518","2026/01/01",1372,"2 Beds","Apartment"
"107","1010 Legacy Village Dr, Cary, NC 27518","2026/01/01",1685,"3 Beds","Apartment"
"108","100 Crescent Arbor Ln, Cary, NC 27518","2026/01/01",1525,"1 Bed","Apartment"
"109","100 Crescent Arbor Ln, Cary, NC 27518","2026/01/01",1855,"2 Beds","Apartment"
"110","1910 Capital Creek Dr, Wake Forest, NC 27587","2026/01/01",1203,"1 Bed","Apartment"
"111","1910 Capital Creek Dr, Wake Forest, NC 27587","2026/01/01",1414,"2 Beds","Apartment"
"112","1910 Capital Creek Dr, Wake Forest, NC 27587","2026/01/01",1661,"3 Beds","Apartment"
"113","485 Traebert Cir, Knightdale, NC 27545","2026/01/01",1265,"1 Bed","Apartment"
"114","485 Traebert Cir, Knightdale, NC 27545","2026/01/01",1425,"2 Beds","Apartment"
"115","485 Traebert Cir, Knightdale, NC 27545","2026/01/01",1895,"3 Beds","Apartment"
"116","1030 Element Cir, Garner, NC 27529","2026/01/01",1360,"1 Bed","Apartment"
"117","1030 Element Cir, Garner, NC 27529","2026/01/01",1652,"2 Beds","Apartment"
"118","3818 Page Rd, Durham, NC 27703","2026/01/01",1245,"1 Bed","Apartment"
"119","3818 Page Rd, Durham, NC 27703","2026/01/01",1644,"2 Beds","Apartment"
"120","457 Stone Monument Dr, Wake Forest, NC 27587","2026/01/01",1195,"1 Bed","Apartment"
"121","457 Stone Monument Dr, Wake Forest, NC 27587","2026/01/01",1375,"2 Beds","Apartment"
"122","457 Stone Monument Dr, Wake Forest, NC 27587","2026/01/01",1755,"3 Beds","Apartment"
"123","921 Mendocino St, Wake Forest, NC 27587","2026/01/01",1349,"1 Bed","Apartment"
"124","921 Mendocino St, Wake Forest, NC 27587","2026/01/01",1714,"2 Beds","Apartment"
"125","921 Mendocino St, Wake Forest, NC 27587","2026/01/01",2370,"3 Beds","Apartment"
"126","514 Pleasant Dr, Durham, NC 27703","2026/01/01",1256,"1 Bed","Apartment"
"127","514 Pleasant Dr, Durham, NC 27703","2026/01/01",1614,"2 Beds","Apartment"
"128","514 Pleasant Dr, Durham, NC 27703","2026/01/01",1864,"3 Beds","Apartment"
"129","341 Sugar Magnolia Ln, Knightdale, NC 27545","2026/01/01",1195,"1 Bed","Apartment"
"130","341 Sugar Magnolia Ln, Knightdale, NC 27545","2026/01/01",1595,"2 Beds","Apartment"
"131","218 Southport Dr, Morrisville, NC 27560","2026/01/01",1399,"Studio","Apartment"
"132","218 Southport Dr, Morrisville, NC 27560","2026/01/01",1497,"1 Bed","Apartment"
"133","218 Southport Dr, Morrisville, NC 27560","2026/01/01",2177,"2 Beds+","Apartment"
"134","821 Hanbury Wy, Raleigh, NC 27607","2026/01/01",1245,"1 Bed","Apartment"
"135","821 Hanbury Wy, Raleigh, NC 27607","2026/01/01",1799,"2 Beds","Apartment"
"136","3939 Glenwood Ave, Raleigh, NC 27612","2026/01/01",949,"Studio","Apartment"
"137","3939 Glenwood Ave, Raleigh, NC 27612","2026/01/01",999,"1 Bed","Apartment"
"138","3939 Glenwood Ave, Raleigh, NC 27612","2026/01/01",1249,"2 Beds","Apartment"
"139","10300 Pine Lakes Ct, Raleigh, NC 27617","2026/01/01",1113,"1 Bed","Apartment"
"140","10300 Pine Lakes Ct, Raleigh, NC 27617","2026/01/01",1287,"2 Beds","Apartment"
"141","10300 Pine Lakes Ct, Raleigh, NC 27617","2026/01/01",1597,"3 Beds","Apartment"
"142","1020 Hammell Dr, Raleigh, NC 27603","2026/01/01",1500,"Studio","Apartment"
"143","1020 Hammell Dr, Raleigh, NC 27603","2026/01/01",1750,"1 Bed","Apartment"
"144","1020 Hammell Dr, Raleigh, NC 27603","2026/01/01",2825,"2 Beds+","Apartment"
"145","1000 Hammell Dr, Raleigh, NC 27603","2026/01/01",1303,"Studio","Apartment"
"146","1000 Hammell Dr, Raleigh, NC 27603","2026/01/01",1539,"1 Bed","Apartment"
