"","Address","Date","Rent","Aprt_Type","Building_Type"
"216","1155 Dahlia St NW, Washington, DC 20012","2026/01/01",1650,"2 Beds","Apartment"
"217","1155 Dahlia St NW, Washington, DC 20012","2026/01/01",950,"3 Beds","Apartment"
"218","1155 Dahlia St NW, Washington, DC 20012","2026/01/01",950,"4 Beds+","Apartment"
"219","1320 4th St NE, Washington, DC 20002","2026/01/01",1640,"1 Bed","Apartment"
"220","1320 4th St NE, Washington, DC 20002","2026/01/01",2300,"2 Beds","Apartment"
"221","1320 4th St NE, Washington, DC 20002","2026/01/01",6500,"3 Beds","Apartment"
"222","853 New Jersey Ave SE, Washington, DC 20003","2026/01/01",1998,"Studio","Apartment"
"223","853 New Jersey Ave SE, Washington, DC 20003","2026/01/01",2005,"1 Bed","Apartment"
"224","853 New Jersey Ave SE, Washington, DC 20003","2026/01/01",3163,"2 Beds","Apartment"
"225","3201 8th St NE, Washington, DC 20017","2026/01/01",2123,"Studio","Apartment"
"226","3201 8th St NE, Washington, DC 20017","2026/01/01",1754,"1 Bed","Apartment"
"227","3201 8th St NE, Washington, DC 20017","2026/01/01",2885,"2 Beds+","Apartment"
"228","1325 5th St NE, Washington, DC 20002","2026/01/01",1593,"Studio","Apartment"
"229","1325 5th St NE, Washington, DC 20002","2026/01/01",1880,"1 Bed","Apartment"
"230","1325 5th St NE, Washington, DC 20002","2026/01/01",3368,"2 Beds","Apartment"
"231","2220 11th St NW, Washington, DC 20001","2026/01/01",1795,"1 Bed","Apartment"
"232","2220 11th St NW, Washington, DC 20001","2026/01/01",2700,"2 Beds","Apartment"
"233","801 New Jersey Ave NW, Washington, DC 20001","2026/01/01",1975,"Studio","Apartment"
"234","801 New Jersey Ave NW, Washington, DC 20001","2026/01/01",2033,"1 Bed","Apartment"
"235","801 New Jersey Ave NW, Washington, DC 20001","2026/01/01",2934,"2 Beds","Apartment"
"236","1331 Yards Pl SE, Washington, DC 20003","2026/01/01",1924,"Studio","Apartment"
"237","1331 Yards Pl SE, Washington, DC 20003","2026/01/01",2164,"1 Bed","Apartment"
"238","1331 Yards Pl SE, Washington, DC 20003","2026/01/01",3210,"2 Beds","Apartment"
"239","1313 L St NW, Washington, DC 20005","2026/01/01",1820,"Studio","Apartment"
"240","1313 L St NW, Washington, DC 20005","2026/01/01",2400,"1 Bed","Apartment"
"241","60 I St SW, Washington, DC 20024","2026/01/01",1953,"Studio","Apartment"
"242","60 I St SW, Washington, DC 20024","2026/01/01",1862,"1 Bed","Apartment"
"243","60 I St SW, Washington, DC 20024","2026/01/01",2912,"2 Beds","Apartment"
"244","2000 2nd St SW, Washington, DC 20024","2026/01/01",1885,"Studio","Apartment"
"245","2000 2nd St SW, Washington, DC 20024","2026/01/01",2175,"1 Bed","Apartment"
"246","2000 2nd St SW, Washington, DC 20024","2026/01/01",4093,"2 Beds","Apartment"
