"Address","Date","Rent","Aprt_Type","Building_Type"
"1777 Columbia Rd NW, Washington, DC 20009","2026/04/01",1965,"Studio","Apartment"
"1777 Columbia Rd NW, Washington, DC 20009","2026/04/01",2437,"1 Bed","Apartment"
"800 Kenilworth Ave NE, Washington, DC 20019","2026/04/01",1763,"1 Bed","Apartment"
"800 Kenilworth Ave NE, Washington, DC 20019","2026/04/01",2112,"2 Beds","Apartment"
"800 Kenilworth Ave NE, Washington, DC 20019","2026/04/01",2424,"3 Beds","Apartment"
"2323 Pennsylvania Ave SE, Washington, DC 20020","2026/04/01",1781,"1 Bed","Apartment"
"2323 Pennsylvania Ave SE, Washington, DC 20020","2026/04/01",2128,"2 Beds","Apartment"
"2228 Martin Luther King Jr Ave SE, Washington, DC 20020","2026/04/01",1784,"1 Bed","Apartment"
"2228 Martin Luther King Jr Ave SE, Washington, DC 20020","2026/04/01",2132,"2 Beds","Apartment"
"8750 Georgia Ave, Silver Spring, MD 20910","2026/04/01",1325,"Studio","Apartment"
"8750 Georgia Ave, Silver Spring, MD 20910","2026/04/01",1575,"1 Bed","Apartment"
"8750 Georgia Ave, Silver Spring, MD 20910","2026/04/01",2000,"2 Beds+","Apartment"
"443 New York Ave NW, Washington, DC 20001","2026/04/01",2098,"Studio","Apartment"
"443 New York Ave NW, Washington, DC 20001","2026/04/01",2371,"1 Bed","Apartment"
"443 New York Ave NW, Washington, DC 20001","2026/04/01",3403,"2 Beds","Apartment"
"1676 Maryland Ave NE, Washington, DC 20002","2026/04/01",1443,"Studio","Apartment"
"1676 Maryland Ave NE, Washington, DC 20002","2026/04/01",1589,"1 Bed","Apartment"
"1676 Maryland Ave NE, Washington, DC 20002","2026/04/01",2020,"2 Beds","Apartment"
"1240 3rd St NE, Washington, DC 20002","2026/04/01",1697,"Studio","Apartment"
"1240 3rd St NE, Washington, DC 20002","2026/04/01",2139,"1 Bed","Apartment"
"1240 3rd St NE, Washington, DC 20002","2026/04/01",3644,"2 Beds+","Apartment"
"44 Banner Ln, Washington, DC 20001","2026/04/01",1615,"Studio","Apartment"
"44 Banner Ln, Washington, DC 20001","2026/04/01",1945,"1 Bed","Apartment"
"44 Banner Ln, Washington, DC 20001","2026/04/01",2620,"2 Beds","Apartment"
"4000 Wisconsin Ave NW, Washington, DC 20016","2026/04/01",2299,"1 Bed","Apartment"
"4000 Wisconsin Ave NW, Washington, DC 20016","2026/04/01",3685,"2 Beds","Apartment"
"300 12th St SW, Washington, DC 20024","2026/04/01",1999,"Studio","Apartment"
"300 12th St SW, Washington, DC 20024","2026/04/01",2312,"1 Bed","Apartment"
"300 12th St SW, Washington, DC 20024","2026/04/01",3599,"2 Beds+","Apartment"
"7 M St NE, Washington, DC 20002","2026/04/01",1529,"Studio","Apartment"
"7 M St NE, Washington, DC 20002","2026/04/01",1736,"1 Bed","Apartment"
"7 M St NE, Washington, DC 20002","2026/04/01",1908,"2 Beds+","Apartment"
"113 Potomac Ave SW, Washington, DC 20024","2026/04/01",2100,"Studio","Apartment"
"113 Potomac Ave SW, Washington, DC 20024","2026/04/01",2433,"1 Bed","Apartment"
"113 Potomac Ave SW, Washington, DC 20024","2026/04/01",3196,"2 Beds+","Apartment"
"6830-6896 Laurel St NW, Washington, DC 20012","2026/04/01",1420,"Studio","Apartment"
"6830-6896 Laurel St NW, Washington, DC 20012","2026/04/01",1706,"1 Bed","Apartment"
