"Address","Date","Rent","Aprt_Type","Building_Type"
"710 NE 1st Ave, Miami, FL 33132","2026/01/13",2300,"Studio","Apartment"
"710 NE 1st Ave, Miami, FL 33132","2026/01/13",3170,"1 Bed","Apartment"
"710 NE 1st Ave, Miami, FL 33132","2026/01/13",6030,"2 Beds","Apartment"
"61 NW 37th Ave, Miami, FL 33125","2026/01/13",2070,"Studio","Apartment"
"61 NW 37th Ave, Miami, FL 33125","2026/01/13",2425,"1 Bed","Apartment"
"61 NW 37th Ave, Miami, FL 33125","2026/01/13",2700,"2 Beds","Apartment"
"5700 Biscayne Blvd, Miami, FL 33137","2026/01/13",2210,"Studio","Apartment"
"5700 Biscayne Blvd, Miami, FL 33137","2026/01/13",2641,"1 Bed","Apartment"
"5700 Biscayne Blvd, Miami, FL 33137","2026/01/13",3443,"2 Beds+","Apartment"
"1470 NW 36th St, Miami, FL 33142","2026/01/13",1988,"1 Bed","Apartment"
"1470 NW 36th St, Miami, FL 33142","2026/01/13",3023,"2 Beds","Apartment"
"9030 SW 158th Ave, Miami, FL 33196","2026/01/13",2335,"1 Bed","Apartment"
"9030 SW 158th Ave, Miami, FL 33196","2026/01/13",2750,"2 Beds","Apartment"
"9030 SW 158th Ave, Miami, FL 33196","2026/01/13",3495,"3 Beds","Apartment"
"15955 NW 6th Ave, Miami, FL 33169","2026/01/13",2160,"1 Bed","Apartment"
"15955 NW 6th Ave, Miami, FL 33169","2026/01/13",2890,"2 Beds","Apartment"
"15955 NW 6th Ave, Miami, FL 33169","2026/01/13",3540,"3 Beds","Apartment"
"2850 SW 71st Ave, Miami, FL 33155","2026/01/13",2190,"Studio","Apartment"
"2850 SW 71st Ave, Miami, FL 33155","2026/01/13",2392,"1 Bed","Apartment"
"2850 SW 71st Ave, Miami, FL 33155","2026/01/13",2992,"2 Beds+","Apartment"
"275 SW 6th St, Miami, FL 33130","2026/01/13",2815,"Studio","Apartment"
"275 SW 6th St, Miami, FL 33130","2026/01/13",3320,"1 Bed","Apartment"
"275 SW 6th St, Miami, FL 33130","2026/01/13",4038,"2 Beds+","Apartment"
"6512 NW 14th Ave, Miami, FL 33147","2026/01/13",1631,"1 Bed","Apartment"
"6512 NW 14th Ave, Miami, FL 33147","2026/01/13",1825,"2 Beds","Apartment"
"6512 NW 14th Ave, Miami, FL 33147","2026/01/13",2360,"3 Beds","Apartment"
"55 NE 2nd St, Miami, FL 33132","2026/01/13",2478,"Studio","Apartment"
"55 NE 2nd St, Miami, FL 33132","2026/01/13",2755,"1 Bed","Apartment"
"55 NE 2nd St, Miami, FL 33132","2026/01/13",4056,"2 Beds","Apartment"
"12 NE 188th St, Miami, FL 33179","2026/01/13",1675,"1 Bed","Apartment"
"12 NE 188th St, Miami, FL 33179","2026/01/13",2000,"2 Beds","Apartment"
"9517 Fontainebleau Blvd, Miami, FL 33172","2026/01/13",1815,"Studio","Apartment"
"9517 Fontainebleau Blvd, Miami, FL 33172","2026/01/13",1973,"1 Bed","Apartment"
"9517 Fontainebleau Blvd, Miami, FL 33172","2026/01/13",2202,"2 Beds+","Apartment"
"1100 Brickell Bay Dr, Miami, FL 33131","2026/01/13",3805,"1 Bed","Apartment"
"1100 Brickell Bay Dr, Miami, FL 33131","2026/01/13",4605,"2 Beds","Apartment"
"1100 Brickell Bay Dr, Miami, FL 33131","2026/01/13",9965,"3 Beds","Apartment"
"14050 NE 6th Ave, Miami, FL 33161","2026/01/13",1650,"Studio","Apartment"
"14050 NE 6th Ave, Miami, FL 33161","2026/01/13",1750,"1 Bed","Apartment"
"14050 NE 6th Ave, Miami, FL 33161","2026/01/13",2250,"2 Beds","Apartment"
"8440 S Dixie Hwy, Miami, FL 33143","2026/01/13",2525,"1 Bed","Apartment"
"8440 S Dixie Hwy, Miami, FL 33143","2026/01/13",2700,"2 Beds","Apartment"
"1951 NW South River Dr, Miami, FL 33125","2026/01/13",2486,"1 Bed","Apartment"
"1951 NW South River Dr, Miami, FL 33125","2026/01/13",2999,"2 Beds","Apartment"
"1951 NW South River Dr, Miami, FL 33125","2026/01/13",3462,"3 Beds","Apartment"
"8881 SW 172nd Ave, Miami, FL 33196","2026/01/13",1904,"1 Bed","Apartment"
"8881 SW 172nd Ave, Miami, FL 33196","2026/01/13",2471,"2 Beds","Apartment"
"8881 SW 172nd Ave, Miami, FL 33196","2026/01/13",2747,"3 Beds","Apartment"
"1501 SW 37th Ave, Miami, FL 33145","2026/01/13",3200,"Studio","Apartment"
"1501 SW 37th Ave, Miami, FL 33145","2026/01/13",2800,"1 Bed","Apartment"
