"Address","Date","Rent","Aprt_Type","Building_Type"
"1985-1988 NW Savier St, Portland, OR 97209","2026/05/04",1379,"Studio","Apartment"
"1985-1988 NW Savier St, Portland, OR 97209","2026/05/04",1715,"1 Bed","Apartment"
"1985-1988 NW Savier St, Portland, OR 97209","2026/05/04",2915,"2 Beds","Apartment"
"110 N Tomahawk Island Dr, Portland, OR 97217","2026/05/04",1396,"1 Bed","Apartment"
"110 N Tomahawk Island Dr, Portland, OR 97217","2026/05/04",1675,"2 Beds","Apartment"
"2050 Northeast Pacific Street, Portland, OR 97232","2026/05/04",1599,"Studio","Apartment"
"2050 Northeast Pacific Street, Portland, OR 97232","2026/05/04",1531,"1 Bed","Apartment"
"2050 Northeast Pacific Street, Portland, OR 97232","2026/05/04",2795,"2 Beds","Apartment"
"22 NE 2nd Ave, Portland, OR 97232","2026/05/04",1431,"Studio","Apartment"
"22 NE 2nd Ave, Portland, OR 97232","2026/05/04",1599,"1 Bed","Apartment"
"22 NE 2nd Ave, Portland, OR 97232","2026/05/04",2455,"2 Beds","Apartment"
"1630 SE Rural St, Portland, OR 97202","2026/05/04",1368,"Studio","Apartment"
"1630 SE Rural St, Portland, OR 97202","2026/05/04",1581,"1 Bed","Apartment"
"3650 SE 29th Ave, Portland, OR 97202","2026/05/04",1485,"1 Bed",NA
"5620 N Interstate Ave, Portland, OR 97217","2026/05/04",1749,"1 Bed",NA
"1784 NW Northrup St, Portland, OR 97209","2026/05/04",1485,"Studio","Apartment"
"1784 NW Northrup St, Portland, OR 97209","2026/05/04",1905,"1 Bed","Apartment"
"1640 SW Yamhill St, Portland, OR 97205","2026/05/04",1595,"Studio","Apartment"
"1640 SW Yamhill St, Portland, OR 97205","2026/05/04",1960,"1 Bed","Apartment"
"1640 SW Yamhill St, Portland, OR 97205","2026/05/04",3510,"2 Beds","Apartment"
"900 NW Lovejoy St, Portland, OR 97209","2026/05/04",1740,"1 Bed","Apartment"
