"Address","Date","Rent","Aprt_Type","Building_Type"
"1985-1988 NW Savier St, Portland, OR 97209","2026/07/07",1805,"Studio","Apartment"
"1985-1988 NW Savier St, Portland, OR 97209","2026/07/07",1939,"1 Bed","Apartment"
"1985-1988 NW Savier St, Portland, OR 97209","2026/07/07",3015,"2 Beds","Apartment"
"1640 SW Yamhill St, Portland, OR 97205","2026/07/07",1455,"Studio","Apartment"
"1640 SW Yamhill St, Portland, OR 97205","2026/07/07",1935,"1 Bed","Apartment"
"1640 SW Yamhill St, Portland, OR 97205","2026/07/07",3405,"2 Beds","Apartment"
"2050 Northeast Pacific Street, Portland, OR 97232","2026/07/07",1625,"Studio","Apartment"
"2050 Northeast Pacific Street, Portland, OR 97232","2026/07/07",1599,"1 Bed","Apartment"
"2050 Northeast Pacific Street, Portland, OR 97232","2026/07/07",2795,"2 Beds","Apartment"
"22 NE 2nd Ave, Portland, OR 97232","2026/07/07",1446,"Studio","Apartment"
"22 NE 2nd Ave, Portland, OR 97232","2026/07/07",1451,"1 Bed","Apartment"
"22 NE 2nd Ave, Portland, OR 97232","2026/07/07",2414,"2 Beds","Apartment"
NA,NA,NA,NA,NA
"110 N Tomahawk Island Dr, Portland, OR 97217","2026/07/07",1396,"1 Bed","Apartment"
"110 N Tomahawk Island Dr, Portland, OR 97217","2026/07/07",1675,"2 Beds","Apartment"
"3650 SE 29th Ave, Portland, OR 97202","2026/07/07",1400,"2 Beds",NA
"5620 N Interstate Ave, Portland, OR 97217","2026/07/07",1125,"Studio","Apartment"
"5620 N Interstate Ave, Portland, OR 97217","2026/07/07",1749,"2 Beds","Apartment"
"4225 SE Milwaukie Ave, Portland, OR 97202","2026/07/07",1219,"Studio","Apartment"
"4225 SE Milwaukie Ave, Portland, OR 97202","2026/07/07",1484,"1 Bed","Apartment"
"4225 SE Milwaukie Ave, Portland, OR 97202","2026/07/07",1882,"2 Beds","Apartment"
"1784 NW Northrup St, Portland, OR 97209","2026/07/07",1499,"2 Beds",NA
"900 NW Lovejoy St, Portland, OR 97209","2026/07/07",1700,"1 Bed","Apartment"
"900 NW Lovejoy St, Portland, OR 97209","2026/07/07",2700,"2 Beds","Apartment"
"1447 NW 12th Ave, Portland, OR 97209","2026/07/07",1553,"1 Bed","Apartment"
"1447 NW 12th Ave, Portland, OR 97209","2026/07/07",2478,"2 Beds","Apartment"
"3202 SE 92nd Ave, Portland, OR 97266","2026/07/07",1395,"2 Beds",NA
"12345 SE Fuller Rd, Portland, OR 97222","2026/07/07",1495,"2 Beds",NA
NA,NA,NA,NA,NA
"6015 N Interstate Ave, Portland, OR 97217","2026/07/07",1294,"Studio","Apartment"
"6015 N Interstate Ave, Portland, OR 97217","2026/07/07",1755,"1 Bed","Apartment"
"6015 N Interstate Ave, Portland, OR 97217","2026/07/07",2427,"2 Beds","Apartment"
"2070 NW Quimby St, Portland, OR 97209","2026/07/07",1550,"Studio","Apartment"
"2070 NW Quimby St, Portland, OR 97209","2026/07/07",1886,"1 Bed","Apartment"
"2070 NW Quimby St, Portland, OR 97209","2026/07/07",2257,"2 Beds","Apartment"
"1630 SE Rural St, Portland, OR 97202","2026/07/07",1397,"Studio","Apartment"
"1630 SE Rural St, Portland, OR 97202","2026/07/07",1905,"1 Bed","Apartment"
"7007 SW Hampton St, Tigard, OR 97223","2026/07/07",1749,"Studio","Apartment"
"7007 SW Hampton St, Tigard, OR 97223","2026/07/07",1795,"1 Bed","Apartment"
"7007 SW Hampton St, Tigard, OR 97223","2026/07/07",2599,"2 Beds","Apartment"
"10999 SE 37th Ave, Milwaukie, OR 97222","2026/07/07",1460,"Studio","Apartment"
"10999 SE 37th Ave, Milwaukie, OR 97222","2026/07/07",1599,"1 Bed","Apartment"
"10999 SE 37th Ave, Milwaukie, OR 97222","2026/07/07",2164,"2 Beds+","Apartment"
"2059 SW Park Ave, Portland, OR 97201","2026/07/07",999,"2 Beds+",NA
"3956 N Vancouver Ave, Portland, OR 97227","2026/07/07",1365,"Studio","Apartment"
"3956 N Vancouver Ave, Portland, OR 97227","2026/07/07",1520,"1 Bed","Apartment"
"3956 N Vancouver Ave, Portland, OR 97227","2026/07/07",2357,"2 Beds","Apartment"
"1510 SW Alder St, Portland, OR 97205","2026/07/07",1669,"1 Bed","Apartment"
"1510 SW Alder St, Portland, OR 97205","2026/07/07",2348,"2 Beds","Apartment"
"1725 SW Salmon St, Portland, OR 97205","2026/07/07",1260,"Studio","Apartment"
"1725 SW Salmon St, Portland, OR 97205","2026/07/07",1687,"1 Bed","Apartment"
"1725 SW Salmon St, Portland, OR 97205","2026/07/07",2912,"2 Beds","Apartment"
"7128 NW 159th Ave, Portland, OR 97229","2026/07/07",1675,"1 Bed","Apartment"
"7128 NW 159th Ave, Portland, OR 97229","2026/07/07",1999,"2 Beds","Apartment"
"7128 NW 159th Ave, Portland, OR 97229","2026/07/07",2600,"3 Beds","Apartment"
"3883 S Moody Ave, Portland, OR 97239","2026/07/07",1295,"Studio","Apartment"
"3883 S Moody Ave, Portland, OR 97239","2026/07/07",1526,"1 Bed","Apartment"
"3883 S Moody Ave, Portland, OR 97239","2026/07/07",2394,"2 Beds","Apartment"
"1871 N Flint Ave, Portland, OR 97227","2026/07/07",1160,"Studio","Apartment"
"1871 N Flint Ave, Portland, OR 97227","2026/07/07",2300,"2 Beds","Apartment"
"3720 SW Bond Ave, Portland, OR 97239","2026/07/07",1831,"Studio","Apartment"
"3720 SW Bond Ave, Portland, OR 97239","2026/07/07",2012,"1 Bed","Apartment"
"3720 SW Bond Ave, Portland, OR 97239","2026/07/07",2795,"2 Beds","Apartment"
"1155 NW Everett St, Portland, OR 97209","2026/07/07",1400,"Studio","Apartment"
"1155 NW Everett St, Portland, OR 97209","2026/07/07",1580,"1 Bed","Apartment"
"650 S Gaines St, Portland, OR 97239","2026/07/07",1532,"Studio","Apartment"
"650 S Gaines St, Portland, OR 97239","2026/07/07",1820,"1 Bed","Apartment"
"650 S Gaines St, Portland, OR 97239","2026/07/07",2779,"2 Beds","Apartment"
"1261 NW Overton St, Portland, OR 97209","2026/07/07",1589,"1 Bed","Apartment"
"1261 NW Overton St, Portland, OR 97209","2026/07/07",2297,"2 Beds","Apartment"
"2240-2250 NW Lovejoy St, Portland, OR 97210","2026/07/07",1684,"Studio","Apartment"
"2240-2250 NW Lovejoy St, Portland, OR 97210","2026/07/07",1875,"1 Bed","Apartment"
"2240-2250 NW Lovejoy St, Portland, OR 97210","2026/07/07",2040,"2 Beds","Apartment"
"1450 N Prescott St, Portland, OR 97217","2026/07/07",1379,"Studio","Apartment"
"1450 N Prescott St, Portland, OR 97217","2026/07/07",1670,"1 Bed","Apartment"
"1450 N Prescott St, Portland, OR 97217","2026/07/07",2330,"2 Beds","Apartment"
