"Address","Date","Rent","Aprt_Type","Building_Type"
"608 2nd Ave S, Minneapolis, MN 55402","2026/07/07",1389,"Studio","Apartment"
"608 2nd Ave S, Minneapolis, MN 55402","2026/07/07",1567,"1 Bed","Apartment"
"608 2nd Ave S, Minneapolis, MN 55402","2026/07/07",1914,"2 Beds","Apartment"
"200 University Ave SE, Minneapolis, MN 55414","2026/07/07",1794,"Studio","Apartment"
"200 University Ave SE, Minneapolis, MN 55414","2026/07/07",2019,"1 Bed","Apartment"
"200 University Ave SE, Minneapolis, MN 55414","2026/07/07",2639,"2 Beds+","Apartment"
NA,NA,NA,NA,NA
"3250 W 66th St, Edina, MN 55435","2026/07/07",1878,"1 Bed","Apartment"
"3250 W 66th St, Edina, MN 55435","2026/07/07",2588,"2 Beds","Apartment"
"1325 Utica Ave S, Saint Louis Park, MN 55416","2026/07/07",1735,"Studio","Apartment"
"1325 Utica Ave S, Saint Louis Park, MN 55416","2026/07/07",2035,"1 Bed","Apartment"
"1325 Utica Ave S, Saint Louis Park, MN 55416","2026/07/07",2910,"2 Beds+","Apartment"
"657 22nd Ave NE, Minneapolis, MN 55418","2026/07/07",1330,"Studio","Apartment"
"657 22nd Ave NE, Minneapolis, MN 55418","2026/07/07",1588,"1 Bed","Apartment"
"657 22nd Ave NE, Minneapolis, MN 55418","2026/07/07",1900,"2 Beds","Apartment"
"2500 2nd St NE, Minneapolis, MN 55418","2026/07/07",1352,"Studio","Apartment"
"2500 2nd St NE, Minneapolis, MN 55418","2026/07/07",1642,"1 Bed","Apartment"
"2500 2nd St NE, Minneapolis, MN 55418","2026/07/07",1992,"2 Beds+","Apartment"
"2850 N Wayzata Blvd, Minneapolis, MN 55405","2026/07/07",1869,"1 Bed","Apartment"
"2850 N Wayzata Blvd, Minneapolis, MN 55405","2026/07/07",2643,"2 Beds","Apartment"
"402 2nd St NE, Minneapolis, MN 55413","2026/07/07",1304,"1 Bed","Apartment"
"402 2nd St NE, Minneapolis, MN 55413","2026/07/07",1551,"2 Beds","Apartment"
"402 2nd St NE, Minneapolis, MN 55413","2026/07/07",3071,"3 Beds","Apartment"
"3060 Harbor Ln N, Minneapolis, MN 55447","2026/07/07",1704,"Studio","Apartment"
"3060 Harbor Ln N, Minneapolis, MN 55447","2026/07/07",1774,"1 Bed","Apartment"
"3060 Harbor Ln N, Minneapolis, MN 55447","2026/07/07",2624,"2 Beds+","Apartment"
"3431 Dupont Ave S, Minneapolis, MN 55408","2026/07/07",862,"Studio","Apartment"
"3431 Dupont Ave S, Minneapolis, MN 55408","2026/07/07",1112,"1 Bed","Apartment"
"770 Xenia Ave S, Minneapolis, MN 55416","2026/07/07",1605,"Studio","Apartment"
"770 Xenia Ave S, Minneapolis, MN 55416","2026/07/07",1720,"1 Bed","Apartment"
"770 Xenia Ave S, Minneapolis, MN 55416","2026/07/07",2395,"2 Beds","Apartment"
NA,NA,NA,NA,NA
"816 Portland Ave S, Minneapolis, MN 55404","2026/07/07",1386,"Studio","Apartment"
"816 Portland Ave S, Minneapolis, MN 55404","2026/07/07",1426,"1 Bed","Apartment"
"816 Portland Ave S, Minneapolis, MN 55404","2026/07/07",2511,"2 Beds+","Apartment"
"650 Portland Ave S, Minneapolis, MN 55415","2026/07/07",1483,"Studio","Apartment"
"650 Portland Ave S, Minneapolis, MN 55415","2026/07/07",1466,"1 Bed","Apartment"
"650 Portland Ave S, Minneapolis, MN 55415","2026/07/07",2523,"2 Beds","Apartment"
"250 Portland Ave, Minneapolis, MN 55401","2026/07/07",1795,"1 Bed","Apartment"
"250 Portland Ave, Minneapolis, MN 55401","2026/07/07",2835,"2 Beds","Apartment"
"485 Malcolm Ave SE, Minneapolis, MN 55414","2026/07/07",1330,"Studio","Apartment"
"485 Malcolm Ave SE, Minneapolis, MN 55414","2026/07/07",1639,"1 Bed","Apartment"
"485 Malcolm Ave SE, Minneapolis, MN 55414","2026/07/07",2218,"2 Beds","Apartment"
"2508 Delaware St SE, Minneapolis, MN 55414","2026/07/07",859,"2 Beds","Apartment"
"2508 Delaware St SE, Minneapolis, MN 55414","2026/07/07",679,"3 Beds","Apartment"
"2508 Delaware St SE, Minneapolis, MN 55414","2026/07/07",609,"4 Beds","Apartment"
"2401 Chicago Ave, Minneapolis, MN 55404","2026/07/07",1195,"Studio","Apartment"
"2401 Chicago Ave, Minneapolis, MN 55404","2026/07/07",1395,"1 Bed","Apartment"
