"Address","Date","Rent","Aprt_Type","Building_Type"
"608 2nd Ave S, Minneapolis, MN 55402","2026/06/02",1351,"Studio","Apartment"
"608 2nd Ave S, Minneapolis, MN 55402","2026/06/02",1709,"1 Bed","Apartment"
"608 2nd Ave S, Minneapolis, MN 55402","2026/06/02",2259,"2 Beds","Apartment"
"200 University Ave SE, Minneapolis, MN 55414","2026/06/02",1859,"Studio","Apartment"
"200 University Ave SE, Minneapolis, MN 55414","2026/06/02",1949,"1 Bed","Apartment"
"200 University Ave SE, Minneapolis, MN 55414","2026/06/02",2989,"2 Beds","Apartment"
"3250 W 66th St, Edina, MN 55435","2026/06/02",1588,"Studio","Apartment"
"3250 W 66th St, Edina, MN 55435","2026/06/02",2568,"2 Beds","Apartment"
"1325 Utica Ave S, Saint Louis Park, MN 55416","2026/06/02",1829,"Studio","Apartment"
"1325 Utica Ave S, Saint Louis Park, MN 55416","2026/06/02",2515,"1 Bed","Apartment"
"1325 Utica Ave S, Saint Louis Park, MN 55416","2026/06/02",2860,"2 Beds+","Apartment"
NA,NA,NA,NA,NA
"402 2nd St NE, Minneapolis, MN 55413","2026/06/02",1227,"1 Bed","Apartment"
"402 2nd St NE, Minneapolis, MN 55413","2026/06/02",1556,"2 Beds","Apartment"
"402 2nd St NE, Minneapolis, MN 55413","2026/06/02",3076,"3 Beds","Apartment"
"3060 Harbor Ln N, Minneapolis, MN 55447","2026/06/02",1704,"Studio","Apartment"
"3060 Harbor Ln N, Minneapolis, MN 55447","2026/06/02",1774,"1 Bed","Apartment"
"3060 Harbor Ln N, Minneapolis, MN 55447","2026/06/02",2599,"2 Beds+","Apartment"
"3431 Dupont Ave S, Minneapolis, MN 55408","2026/06/02",862,"Studio","Apartment"
"3431 Dupont Ave S, Minneapolis, MN 55408","2026/06/02",1012,"1 Bed","Apartment"
"770 Xenia Ave S, Minneapolis, MN 55416","2026/06/02",1555,"Studio","Apartment"
"770 Xenia Ave S, Minneapolis, MN 55416","2026/06/02",1715,"1 Bed","Apartment"
"770 Xenia Ave S, Minneapolis, MN 55416","2026/06/02",2600,"2 Beds","Apartment"
NA,NA,NA,NA,NA
"816 Portland Ave S, Minneapolis, MN 55404","2026/06/02",1381,"Studio","Apartment"
"816 Portland Ave S, Minneapolis, MN 55404","2026/06/02",1471,"1 Bed","Apartment"
"816 Portland Ave S, Minneapolis, MN 55404","2026/06/02",2296,"2 Beds+","Apartment"
"657 22nd Ave NE, Minneapolis, MN 55418","2026/06/02",1330,"Studio","Apartment"
"657 22nd Ave NE, Minneapolis, MN 55418","2026/06/02",1588,"1 Bed","Apartment"
"657 22nd Ave NE, Minneapolis, MN 55418","2026/06/02",1900,"2 Beds","Apartment"
"2500 2nd St NE, Minneapolis, MN 55418","2026/06/02",1352,"Studio","Apartment"
"2500 2nd St NE, Minneapolis, MN 55418","2026/06/02",1638,"1 Bed","Apartment"
"2500 2nd St NE, Minneapolis, MN 55418","2026/06/02",1940,"2 Beds+","Apartment"
"250 Portland Ave, Minneapolis, MN 55401","2026/06/02",1817,"1 Bed","Apartment"
"250 Portland Ave, Minneapolis, MN 55401","2026/06/02",2884,"2 Beds","Apartment"
"485 Malcolm Ave SE, Minneapolis, MN 55414","2026/06/02",1360,"Studio","Apartment"
"485 Malcolm Ave SE, Minneapolis, MN 55414","2026/06/02",1617,"1 Bed","Apartment"
"485 Malcolm Ave SE, Minneapolis, MN 55414","2026/06/02",2218,"2 Beds","Apartment"
"2508 Delaware St SE, Minneapolis, MN 55414","2026/06/02",849,"2 Beds","Apartment"
"2508 Delaware St SE, Minneapolis, MN 55414","2026/06/02",679,"3 Beds","Apartment"
"2508 Delaware St SE, Minneapolis, MN 55414","2026/06/02",609,"4 Beds","Apartment"
"2401 Chicago Ave, Minneapolis, MN 55404","2026/06/02",1195,"Studio","Apartment"
"2401 Chicago Ave, Minneapolis, MN 55404","2026/06/02",1395,"1 Bed","Apartment"
"2401 Chicago Ave, Minneapolis, MN 55404","2026/06/02",1670,"2 Beds","Apartment"
"240 Park Ave, Minneapolis, MN 55415","2026/06/02",1550,"1 Bed","Apartment"
"240 Park Ave, Minneapolis, MN 55415","2026/06/02",2250,"2 Beds","Apartment"
"240 Park Ave, Minneapolis, MN 55415","2026/06/02",2675,"3 Beds","Apartment"
"650 Portland Ave S, Minneapolis, MN 55415","2026/06/02",1507,"Studio","Apartment"
"650 Portland Ave S, Minneapolis, MN 55415","2026/06/02",1476,"1 Bed","Apartment"
"650 Portland Ave S, Minneapolis, MN 55415","2026/06/02",2499,"2 Beds","Apartment"
"3413-3433 53rd Ave N, Brooklyn Center, MN 55429","2026/06/02",1069,"1 Bed","Apartment"
"3413-3433 53rd Ave N, Brooklyn Center, MN 55429","2026/06/02",1469,"2 Beds","Apartment"
"2808 Silver Ln NE, Saint Anthony, MN 55421","2026/06/02",1360,"1 Bed","Apartment"
"2808 Silver Ln NE, Saint Anthony, MN 55421","2026/06/02",1535,"2 Beds","Apartment"
"3121 69th St W, Edina, MN 55435","2026/06/02",1157,"Studio","Apartment"
"3121 69th St W, Edina, MN 55435","2026/06/02",1472,"1 Bed","Apartment"
"3121 69th St W, Edina, MN 55435","2026/06/02",2032,"2 Beds","Apartment"
"3820 Grand Way, Saint Louis Park, MN 55416","2026/06/02",1495,"Studio","Apartment"
"3820 Grand Way, Saint Louis Park, MN 55416","2026/06/02",1595,"1 Bed","Apartment"
"3820 Grand Way, Saint Louis Park, MN 55416","2026/06/02",2145,"2 Beds","Apartment"
"9920 Wayzata Blvd, Minneapolis, MN 55426","2026/06/02",1687,"Studio","Apartment"
"9920 Wayzata Blvd, Minneapolis, MN 55426","2026/06/02",1755,"1 Bed","Apartment"
"9920 Wayzata Blvd, Minneapolis, MN 55426","2026/06/02",2395,"2 Beds","Apartment"
"600 S 5th Ave, Minneapolis, MN 55415","2026/06/02",1485,"1 Bed","Apartment"
"600 S 5th Ave, Minneapolis, MN 55415","2026/06/02",3335,"2 Beds","Apartment"
"3100 W Lake St, Minneapolis, MN 55416","2026/06/02",1845,"1 Bed","Apartment"
"3100 W Lake St, Minneapolis, MN 55416","2026/06/02",3280,"2 Beds","Apartment"
"1410 Nicollet Ave, Minneapolis, MN 55403","2026/06/02",1092,"Studio","Apartment"
"1410 Nicollet Ave, Minneapolis, MN 55403","2026/06/02",1487,"1 Bed","Apartment"
"1410 Nicollet Ave, Minneapolis, MN 55403","2026/06/02",2326,"2 Beds","Apartment"
"1125 Lagoon Ave, Minneapolis, MN 55408","2026/06/02",1377,"1 Bed","Apartment"
"1125 Lagoon Ave, Minneapolis, MN 55408","2026/06/02",1917,"2 Beds","Apartment"
"270 Hennepin Ave, Minneapolis, MN 55402","2026/06/02",1425,"Studio","Apartment"
"270 Hennepin Ave, Minneapolis, MN 55402","2026/06/02",1703,"1 Bed","Apartment"
"270 Hennepin Ave, Minneapolis, MN 55402","2026/06/02",2916,"2 Beds+","Apartment"
"2934 Bryant Ave S, Minneapolis, MN 55408","2026/06/02",945,"Studio","Apartment"
"2934 Bryant Ave S, Minneapolis, MN 55408","2026/06/02",1245,"1 Bed","Apartment"
"110 N 1st St, Minneapolis, MN 55401","2026/06/02",1854,"Studio","Apartment"
"110 N 1st St, Minneapolis, MN 55401","2026/06/02",1764,"1 Bed","Apartment"
"110 N 1st St, Minneapolis, MN 55401","2026/06/02",2254,"2 Beds","Apartment"
"4555 Minnehaha Ave, Minneapolis, MN 55406","2026/06/02",1475,"Studio","Apartment"
"4555 Minnehaha Ave, Minneapolis, MN 55406","2026/06/02",1559,"1 Bed","Apartment"
"410-510 W Lake St, Minneapolis, MN 55408","2026/06/02",1210,"1 Bed","Apartment"
"410-510 W Lake St, Minneapolis, MN 55408","2026/06/02",1735,"2 Beds","Apartment"
"500 W Lake St, Minneapolis, MN 55408","2026/06/02",1203,"Studio","Apartment"
"500 W Lake St, Minneapolis, MN 55408","2026/06/02",1403,"1 Bed","Apartment"
"500 W Lake St, Minneapolis, MN 55408","2026/06/02",1774,"2 Beds","Apartment"
"455 Central Ave SE, Minneapolis, MN 55414","2026/06/02",1392,"Studio","Apartment"
"455 Central Ave SE, Minneapolis, MN 55414","2026/06/02",1565,"1 Bed","Apartment"
"455 Central Ave SE, Minneapolis, MN 55414","2026/06/02",1842,"2 Beds","Apartment"
NA,NA,NA,NA,NA
"608 N 3rd St, Minneapolis, MN 55403","2026/06/02",1417,"Studio","Apartment"
"608 N 3rd St, Minneapolis, MN 55403","2026/06/02",1458,"1 Bed","Apartment"
"608 N 3rd St, Minneapolis, MN 55403","2026/06/02",2343,"2 Beds+","Apartment"
"700 S 4th St, Minneapolis, MN 55415","2026/06/02",1383,"Studio","Apartment"
"700 S 4th St, Minneapolis, MN 55415","2026/06/02",1918,"1 Bed","Apartment"
"700 S 4th St, Minneapolis, MN 55415","2026/06/02",3593,"2 Beds","Apartment"
NA,NA,NA,NA,NA
"36 S 9th St, Minneapolis, MN 55402","2026/06/02",1014,"Studio","Apartment"
"36 S 9th St, Minneapolis, MN 55402","2026/06/02",1295,"1 Bed","Apartment"
"8500-8516 63rd Ave N, Minneapolis, MN 55428","2026/06/02",918,"1 Bed","Apartment"
"8500-8516 63rd Ave N, Minneapolis, MN 55428","2026/06/02",1191,"2 Beds","Apartment"
"700 Douglas Ave, Minneapolis, MN 55403","2026/06/02",1380,"Studio","Apartment"
"700 Douglas Ave, Minneapolis, MN 55403","2026/06/02",1510,"1 Bed","Apartment"
"700 Douglas Ave, Minneapolis, MN 55403","2026/06/02",2005,"2 Beds","Apartment"
"2220 E Franklin Ave, Minneapolis, MN 55404","2026/06/02",964,"Studio","Apartment"
"2220 E Franklin Ave, Minneapolis, MN 55404","2026/06/02",1178,"1 Bed","Apartment"
"2220 E Franklin Ave, Minneapolis, MN 55404","2026/06/02",1681,"2 Beds","Apartment"
"3611 Colfax Ave S, Minneapolis, MN 55409","2026/06/02",899,"Studio","Apartment"
"3611 Colfax Ave S, Minneapolis, MN 55409","2026/06/02",949,"1 Bed","Apartment"
"3611 Colfax Ave S, Minneapolis, MN 55409","2026/06/02",1250,"2 Beds","Apartment"
"365 Nicollet Mall, Minneapolis, MN 55401","2026/06/02",1626,"Studio","Apartment"
"365 Nicollet Mall, Minneapolis, MN 55401","2026/06/02",2213,"1 Bed","Apartment"
"365 Nicollet Mall, Minneapolis, MN 55401","2026/06/02",3356,"2 Beds+","Apartment"
"1101 University Ave SE, Minneapolis, MN 55414","2026/06/02",1470,"Studio","Apartment"
"1101 University Ave SE, Minneapolis, MN 55414","2026/06/02",1610,"1 Bed","Apartment"
"1101 University Ave SE, Minneapolis, MN 55414","2026/06/02",955,"2 Beds+","Apartment"
NA,NA,NA,NA,NA
"930 University Ave SE, Minneapolis, MN 55414","2026/06/02",1425,"Studio","Apartment"
"930 University Ave SE, Minneapolis, MN 55414","2026/06/02",1585,"1 Bed","Apartment"
"930 University Ave SE, Minneapolis, MN 55414","2026/06/02",1010,"2 Beds+","Apartment"
"1369 Spruce Pl, Minneapolis, MN 55403","2026/06/02",1208,"Studio","Apartment"
"1369 Spruce Pl, Minneapolis, MN 55403","2026/06/02",1598,"1 Bed","Apartment"
"1369 Spruce Pl, Minneapolis, MN 55403","2026/06/02",2298,"2 Beds+","Apartment"
NA,NA,NA,NA,NA
"225 Portland Ave, Minneapolis, MN 55401","2026/06/02",1400,"Studio","Apartment"
"225 Portland Ave, Minneapolis, MN 55401","2026/06/02",1610,"1 Bed","Apartment"
"225 Portland Ave, Minneapolis, MN 55401","2026/06/02",2060,"2 Beds","Apartment"
"128 E 18th St, Minneapolis, MN 55403","2026/06/02",795,"Studio","Apartment"
"128 E 18th St, Minneapolis, MN 55403","2026/06/02",800,"1 Bed","Apartment"
"128 E 18th St, Minneapolis, MN 55403","2026/06/02",995,"2 Beds","Apartment"
"3118 West Lake St, Minneapolis, MN 55416","2026/06/02",1461,"Studio","Apartment"
"3118 West Lake St, Minneapolis, MN 55416","2026/06/02",1805,"1 Bed","Apartment"
"3118 West Lake St, Minneapolis, MN 55416","2026/06/02",2861,"2 Beds+","Apartment"
NA,NA,NA,NA,NA
"5245 Wayzata Blvd, Minneapolis, MN 55416","2026/06/02",1933,"1 Bed","Apartment"
"5245 Wayzata Blvd, Minneapolis, MN 55416","2026/06/02",2468,"2 Beds","Apartment"
"1506 Laurel Ave, Minneapolis, MN 55403","2026/06/02",1155,"Studio","Apartment"
"1506 Laurel Ave, Minneapolis, MN 55403","2026/06/02",1285,"1 Bed","Apartment"
"1367 Willow St, Minneapolis, MN 55403","2026/06/02",1454,"Studio","Apartment"
"1367 Willow St, Minneapolis, MN 55403","2026/06/02",1542,"1 Bed","Apartment"
"1367 Willow St, Minneapolis, MN 55403","2026/06/02",1912,"2 Beds","Apartment"
"2832 Humboldt Ave S, Minneapolis, MN 55408","2026/06/02",1150,"1 Bed","Apartment"
"2832 Humboldt Ave S, Minneapolis, MN 55408","2026/06/02",1499,"2 Beds","Apartment"
"360 N 1st St, Minneapolis, MN 55401","2026/06/02",1527,"Studio","Apartment"
"360 N 1st St, Minneapolis, MN 55401","2026/06/02",1823,"1 Bed","Apartment"
