"Address","Date","Rent","Aprt_Type","Building_Type"
"650 Portland Ave S, Minneapolis, MN 55415","2026/02/02",1522,"Studio","Apartment"
"650 Portland Ave S, Minneapolis, MN 55415","2026/02/02",1621,"1 Bed","Apartment"
"650 Portland Ave S, Minneapolis, MN 55415","2026/02/02",2293,"2 Beds","Apartment"
"200 University Ave SE, Minneapolis, MN 55414","2026/02/02",1889,"Studio","Apartment"
"200 University Ave SE, Minneapolis, MN 55414","2026/02/02",2149,"1 Bed","Apartment"
"200 University Ave SE, Minneapolis, MN 55414","2026/02/02",2734,"2 Beds+","Apartment"
"2500 2nd St NE, Minneapolis, MN 55418","2026/02/02",1344,"Studio","Apartment"
"2500 2nd St NE, Minneapolis, MN 55418","2026/02/02",1634,"1 Bed","Apartment"
"2500 2nd St NE, Minneapolis, MN 55418","2026/02/02",1953,"2 Beds+","Apartment"
"2850 N Wayzata Blvd, Minneapolis, MN 55405","2026/02/02",1638,"1 Bed","Apartment"
"2850 N Wayzata Blvd, Minneapolis, MN 55405","2026/02/02",2243,"2 Beds","Apartment"
"816 Portland Ave S, Minneapolis, MN 55404","2026/02/02",1331,"Studio","Apartment"
"816 Portland Ave S, Minneapolis, MN 55404","2026/02/02",1791,"1 Bed","Apartment"
"816 Portland Ave S, Minneapolis, MN 55404","2026/02/02",2276,"2 Beds+","Apartment"
"657 22nd Ave NE, Minneapolis, MN 55418","2026/02/02",1300,"Studio","Apartment"
"657 22nd Ave NE, Minneapolis, MN 55418","2026/02/02",1496,"1 Bed","Apartment"
"657 22nd Ave NE, Minneapolis, MN 55418","2026/02/02",1778,"2 Beds","Apartment"
"500 W Lake St, Minneapolis, MN 55408","2026/02/02",1279,"Studio","Apartment"
"500 W Lake St, Minneapolis, MN 55408","2026/02/02",1279,"1 Bed","Apartment"
"500 W Lake St, Minneapolis, MN 55408","2026/02/02",1794,"2 Beds","Apartment"
"2851 Hennepin Ave, Minneapolis, MN 55408","2026/02/02",1486,"Studio","Apartment"
"2851 Hennepin Ave, Minneapolis, MN 55408","2026/02/02",1551,"1 Bed","Apartment"
"2851 Hennepin Ave, Minneapolis, MN 55408","2026/02/02",2286,"2 Beds+","Apartment"
