"Address","Date","Rent","Aprt_Type","Building_Type"
"8155 E Fairmount Dr, Denver, CO 80230","2026/04/01",1509,"1 Bed","Apartment"
"8155 E Fairmount Dr, Denver, CO 80230","2026/04/01",1914,"2 Beds","Apartment"
"8155 E Fairmount Dr, Denver, CO 80230","2026/04/01",2349,"3 Beds","Apartment"
"5031 S Ulster St, Denver, CO 80237","2026/04/01",1653,"Studio","Apartment"
"5031 S Ulster St, Denver, CO 80237","2026/04/01",1853,"1 Bed","Apartment"
"5031 S Ulster St, Denver, CO 80237","2026/04/01",2153,"2 Beds","Apartment"
"82 N Uinta Way, Denver, CO 80230","2026/04/01",1623,"Studio","Apartment"
"82 N Uinta Way, Denver, CO 80230","2026/04/01",1823,"1 Bed","Apartment"
"82 N Uinta Way, Denver, CO 80230","2026/04/01",2423,"2 Beds+","Apartment"
"755 S Dexter St, Denver, CO 80246","2026/04/01",1700,"1 Bed","Apartment"
"755 S Dexter St, Denver, CO 80246","2026/04/01",2350,"2 Beds","Apartment"
"10025 W Dartmouth Ave, Lakewood, CO 80227","2026/04/01",1607,"1 Bed","Apartment"
"10025 W Dartmouth Ave, Lakewood, CO 80227","2026/04/01",2054,"2 Beds","Apartment"
"3645 S Dallas St, Aurora, CO 80014","2026/04/01",1541,"1 Bed","Apartment"
"3645 S Dallas St, Aurora, CO 80014","2026/04/01",1986,"2 Beds","Apartment"
"3645 S Dallas St, Aurora, CO 80014","2026/04/01",2711,"3 Beds","Apartment"
"21775 E 65th Ave, Aurora, CO 80019","2026/04/01",1517,"Studio","Apartment"
"21775 E 65th Ave, Aurora, CO 80019","2026/04/01",1524,"1 Bed","Apartment"
"21775 E 65th Ave, Aurora, CO 80019","2026/04/01",2079,"2 Beds+","Apartment"
"10700 E Dartmouth Ave, Denver, CO 80014","2026/04/01",934,"Studio","Apartment"
"10700 E Dartmouth Ave, Denver, CO 80014","2026/04/01",980,"1 Bed","Apartment"
"10700 E Dartmouth Ave, Denver, CO 80014","2026/04/01",1280,"2 Beds","Apartment"
"7100 E Mississippi Ave, Denver, CO 80224","2026/04/01",909,"1 Bed","Apartment"
"7100 E Mississippi Ave, Denver, CO 80224","2026/04/01",1235,"2 Beds","Apartment"
"415 S Cherokee St, Denver, CO 80223","2026/04/01",1262,"Studio","Apartment"
"415 S Cherokee St, Denver, CO 80223","2026/04/01",1662,"1 Bed","Apartment"
"415 S Cherokee St, Denver, CO 80223","2026/04/01",1985,"2 Beds","Apartment"
"1251 S Bellaire St, Denver, CO 80246","2026/04/01",980,"Studio","Apartment"
"1251 S Bellaire St, Denver, CO 80246","2026/04/01",983,"1 Bed","Apartment"
