"Address","Date","Rent","Aprt_Type","Building_Type"
"9 E Carolina Ave, Memphis, TN 38103","2026/04/01",999,"Studio","Apartment"
"9 E Carolina Ave, Memphis, TN 38103","2026/04/01",1249,"1 Bed","Apartment"
"9 E Carolina Ave, Memphis, TN 38103","2026/04/01",1599,"2 Beds","Apartment"
NA,NA,NA,NA,NA
"7865 Grove Ct W, Germantown, TN 38138","2026/04/01",1315,"1 Bed","Apartment"
"7865 Grove Ct W, Germantown, TN 38138","2026/04/01",1971,"2 Beds","Apartment"
"7865 Grove Ct W, Germantown, TN 38138","2026/04/01",2099,"3 Beds","Apartment"
"3333 Hacks Cross Rd, Memphis, TN 38125","2026/04/01",1289,"1 Bed","Apartment"
"3333 Hacks Cross Rd, Memphis, TN 38125","2026/04/01",1409,"2 Beds","Apartment"
"3333 Hacks Cross Rd, Memphis, TN 38125","2026/04/01",1810,"3 Beds","Apartment"
"775 Melrose St, Memphis, TN 38104","2026/04/01",1099,"Studio","Apartment"
"775 Melrose St, Memphis, TN 38104","2026/04/01",1349,"1 Bed","Apartment"
"775 Melrose St, Memphis, TN 38104","2026/04/01",1549,"2 Beds","Apartment"
"777 Mt Moriah Rd, Memphis, TN 38117","2026/04/01",1049,"1 Bed","Apartment"
"777 Mt Moriah Rd, Memphis, TN 38117","2026/04/01",1299,"2 Beds","Apartment"
"777 Mt Moriah Rd, Memphis, TN 38117","2026/04/01",1448,"3 Beds","Apartment"
"252 N Lauderdale St, Memphis, TN 38105","2026/04/01",760,"Studio","Apartment"
"252 N Lauderdale St, Memphis, TN 38105","2026/04/01",805,"1 Bed","Apartment"
"252 N Lauderdale St, Memphis, TN 38105","2026/04/01",1000,"2 Beds+","Apartment"
"2774 S Mendenhall Rd, Memphis, TN 38115","2026/04/01",581,"Studio","Apartment"
"2774 S Mendenhall Rd, Memphis, TN 38115","2026/04/01",635,"1 Bed","Apartment"
"2774 S Mendenhall Rd, Memphis, TN 38115","2026/04/01",736,"2 Beds+","Apartment"
"7841 N Garden Manor Dr, Memphis, TN 38125","2026/04/01",1259,"1 Bed","Apartment"
"7841 N Garden Manor Dr, Memphis, TN 38125","2026/04/01",1429,"2 Beds","Apartment"
"7841 N Garden Manor Dr, Memphis, TN 38125","2026/04/01",1599,"3 Beds","Apartment"
"1490 Century Arbor Ln, Memphis, TN 38134","2026/04/01",975,"1 Bed","Apartment"
"1490 Century Arbor Ln, Memphis, TN 38134","2026/04/01",1200,"2 Beds","Apartment"
"1490 Century Arbor Ln, Memphis, TN 38134","2026/04/01",1550,"3 Beds","Apartment"
"99 N Main St, Memphis, TN 38103","2026/04/01",877,"Studio","Apartment"
"99 N Main St, Memphis, TN 38103","2026/04/01",1091,"1 Bed","Apartment"
"99 N Main St, Memphis, TN 38103","2026/04/01",1433,"2 Beds+","Apartment"
"810 Washington Ave, Memphis, TN 38105","2026/04/01",1056,"Studio","Apartment"
"810 Washington Ave, Memphis, TN 38105","2026/04/01",1024,"1 Bed","Apartment"
"810 Washington Ave, Memphis, TN 38105","2026/04/01",1312,"2 Beds","Apartment"
"7542 Legacy Dr, Memphis, TN 38119","2026/04/01",1212,"1 Bed","Apartment"
"7542 Legacy Dr, Memphis, TN 38119","2026/04/01",1442,"2 Beds","Apartment"
"3048 Moriah Trl, Memphis, TN 38115","2026/04/01",675,"1 Bed","Apartment"
"3048 Moriah Trl, Memphis, TN 38115","2026/04/01",891,"2 Beds","Apartment"
"130 S Front St, Memphis, TN 38103","2026/04/01",1345,"Studio","Apartment"
"130 S Front St, Memphis, TN 38103","2026/04/01",1260,"1 Bed","Apartment"
"130 S Front St, Memphis, TN 38103","2026/04/01",1710,"2 Beds","Apartment"
"395 S Highland St, Memphis, TN 38111","2026/04/01",1081,"Studio","Apartment"
"395 S Highland St, Memphis, TN 38111","2026/04/01",1172,"1 Bed","Apartment"
"395 S Highland St, Memphis, TN 38111","2026/04/01",1719,"2 Beds+","Apartment"
"1400 Greenbrook Pky, Memphis, TN 38134","2026/04/01",808,"1 Bed","Apartment"
"1400 Greenbrook Pky, Memphis, TN 38134","2026/04/01",937,"2 Beds","Apartment"
