"Address","Date","Rent","Aprt_Type","Building_Type"
"440 Monroe Ave, Memphis, TN 38103","2026/01/12",1150,"3 Beds",NA
"7865 Grove Ct W, Germantown, TN 38138","2026/01/12",1397,"1 Bed","Apartment"
"7865 Grove Ct W, Germantown, TN 38138","2026/01/12",1475,"2 Beds","Apartment"
"7865 Grove Ct W, Germantown, TN 38138","2026/01/12",2045,"3 Beds","Apartment"
"3048 Moriah Trl, Memphis, TN 38115","2026/01/12",617,"1 Bed","Apartment"
"3048 Moriah Trl, Memphis, TN 38115","2026/01/12",657,"2 Beds","Apartment"
"130 S Front St, Memphis, TN 38103","2026/01/12",1100,"Studio","Apartment"
"130 S Front St, Memphis, TN 38103","2026/01/12",1260,"1 Bed","Apartment"
"130 S Front St, Memphis, TN 38103","2026/01/12",1710,"2 Beds","Apartment"
"395 S Highland St, Memphis, TN 38111","2026/01/12",1390,"Studio","Apartment"
"395 S Highland St, Memphis, TN 38111","2026/01/12",1321,"1 Bed","Apartment"
"395 S Highland St, Memphis, TN 38111","2026/01/12",1547,"2 Beds+","Apartment"
"1400 Greenbrook Pky, Memphis, TN 38134","2026/01/12",731,"1 Bed","Apartment"
"1400 Greenbrook Pky, Memphis, TN 38134","2026/01/12",848,"2 Beds","Apartment"
"1914 Poplar Ave, Memphis, TN 38104","2026/01/12",1300,"Studio","Apartment"
"1914 Poplar Ave, Memphis, TN 38104","2026/01/12",1700,"1 Bed","Apartment"
"1914 Poplar Ave, Memphis, TN 38104","2026/01/12",2300,"2 Beds+","Apartment"
"1544 Madison Ave, Memphis, TN 38104","2026/01/12",999,"1 Bed","Apartment"
"1544 Madison Ave, Memphis, TN 38104","2026/01/12",1700,"2 Beds","Apartment"
"1544 Madison Ave, Memphis, TN 38104","2026/01/12",2400,"3 Beds","Apartment"
"2540 Broad Ave, Memphis, TN 38112","2026/01/12",1343,"1 Bed","Apartment"
"2540 Broad Ave, Memphis, TN 38112","2026/01/12",1623,"2 Beds","Apartment"
"694 Madison Ave, Memphis, TN 38103","2026/01/12",1350,"1 Bed","Apartment"
"694 Madison Ave, Memphis, TN 38103","2026/01/12",1950,"2 Beds","Apartment"
"5811 Poplar Ave, Memphis, TN 38119","2026/01/12",999,"Studio","Apartment"
"5811 Poplar Ave, Memphis, TN 38119","2026/01/12",1099,"1 Bed","Apartment"
"5811 Poplar Ave, Memphis, TN 38119","2026/01/12",1499,"2 Beds","Apartment"
"8345 Championship Dr, Memphis, TN 38125","2026/01/12",863,"1 Bed","Apartment"
"8345 Championship Dr, Memphis, TN 38125","2026/01/12",1208,"2 Beds","Apartment"
"8345 Championship Dr, Memphis, TN 38125","2026/01/12",1418,"3 Beds","Apartment"
"1300 Lynnfield Rd, Memphis, TN 38119","2026/01/12",1159,"1 Bed","Apartment"
"1300 Lynnfield Rd, Memphis, TN 38119","2026/01/12",1299,"2 Beds","Apartment"
"1300 Lynnfield Rd, Memphis, TN 38119","2026/01/12",1599,"3 Beds","Apartment"
"3896 Chippewa Rd, Memphis, TN 38118","2026/01/12",825,"1 Bed","Apartment"
"3896 Chippewa Rd, Memphis, TN 38118","2026/01/12",865,"2 Beds","Apartment"
"3896 Chippewa Rd, Memphis, TN 38118","2026/01/12",1055,"3 Beds+","Apartment"
"3333 Hacks Cross Rd, Memphis, TN 38125","2026/01/12",1289,"1 Bed","Apartment"
"3333 Hacks Cross Rd, Memphis, TN 38125","2026/01/12",1499,"2 Beds","Apartment"
"3333 Hacks Cross Rd, Memphis, TN 38125","2026/01/12",1879,"3 Beds","Apartment"
"510 S Highland St, Memphis, TN 38111","2026/01/12",1015,"Studio","Apartment"
"510 S Highland St, Memphis, TN 38111","2026/01/12",1100,"1 Bed","Apartment"
"510 S Highland St, Memphis, TN 38111","2026/01/12",1174,"2 Beds+","Apartment"
"9 E Carolina Ave, Memphis, TN 38103","2026/01/12",999,"Studio","Apartment"
"9 E Carolina Ave, Memphis, TN 38103","2026/01/12",1249,"1 Bed","Apartment"
"9 E Carolina Ave, Memphis, TN 38103","2026/01/12",1599,"2 Beds","Apartment"
"775 Melrose St, Memphis, TN 38104","2026/01/12",1099,"Studio","Apartment"
"775 Melrose St, Memphis, TN 38104","2026/01/12",1349,"1 Bed","Apartment"
"775 Melrose St, Memphis, TN 38104","2026/01/12",1399,"2 Beds","Apartment"
"777 Mt Moriah Rd, Memphis, TN 38117","2026/01/12",1149,"1 Bed","Apartment"
"777 Mt Moriah Rd, Memphis, TN 38117","2026/01/12",1299,"2 Beds","Apartment"
"777 Mt Moriah Rd, Memphis, TN 38117","2026/01/12",1448,"3 Beds","Apartment"
"252 N Lauderdale St, Memphis, TN 38105","2026/01/12",760,"Studio","Apartment"
"252 N Lauderdale St, Memphis, TN 38105","2026/01/12",805,"1 Bed","Apartment"
"252 N Lauderdale St, Memphis, TN 38105","2026/01/12",1000,"2 Beds+","Apartment"
"2774 S Mendenhall Rd, Memphis, TN 38115","2026/01/12",581,"Studio","Apartment"
"2774 S Mendenhall Rd, Memphis, TN 38115","2026/01/12",635,"1 Bed","Apartment"
"2774 S Mendenhall Rd, Memphis, TN 38115","2026/01/12",736,"2 Beds+","Apartment"
"7841 N Garden Manor Dr, Memphis, TN 38125","2026/01/12",1259,"1 Bed","Apartment"
"7841 N Garden Manor Dr, Memphis, TN 38125","2026/01/12",1429,"2 Beds","Apartment"
"7841 N Garden Manor Dr, Memphis, TN 38125","2026/01/12",1699,"3 Beds","Apartment"
"3595-3655 Southern Ave, Memphis, TN 38111","2026/01/12",1199,"Studio","Apartment"
"3595-3655 Southern Ave, Memphis, TN 38111","2026/01/12",1409,"1 Bed","Apartment"
"3595-3655 Southern Ave, Memphis, TN 38111","2026/01/12",889,"2 Beds+","Apartment"
"1490 Century Arbor Ln, Memphis, TN 38134","2026/01/12",799,"1 Bed","Apartment"
"1490 Century Arbor Ln, Memphis, TN 38134","2026/01/12",999,"2 Beds","Apartment"
"1490 Century Arbor Ln, Memphis, TN 38134","2026/01/12",1299,"3 Beds","Apartment"
"99 N Main St, Memphis, TN 38103","2026/01/12",761,"Studio","Apartment"
"99 N Main St, Memphis, TN 38103","2026/01/12",1077,"1 Bed","Apartment"
"99 N Main St, Memphis, TN 38103","2026/01/12",1427,"2 Beds","Apartment"
"810 Washington Ave, Memphis, TN 38105","2026/01/12",965,"Studio","Apartment"
